Type,Sentence,Grammatical,Critical String,Region Start,Region End
<S_XX>,I know that Michael talked to Christopher last year and stopped talking to Matthew today,True,Matthew,75,82
<S_FG>,I know who Michael talked to last year and stopped talking to recently,True,recently,62,70
<S_XG>,I know that Michael talked to Christopher last year and stopped talking to recently,False,recently,75,83
<S_FX>,I know who Michael talked to last year and stopped talking to Matthew recently,False,Matthew,62,69
<S_XX>,I know that Michael talked to Christopher last year and stopped talking to Matthew recently,True,Matthew,75,82
<S_FG>,I know who Michael talked to last year and stopped talking to lately,True,lately,62,68
<S_XG>,I know that Michael talked to Christopher last year and stopped talking to lately,False,lately,75,81
<S_FX>,I know who Michael talked to last year and stopped talking to Matthew lately,False,Matthew,62,69
<S_XX>,I know that Michael talked to Christopher last year and stopped talking to Matthew lately,True,Matthew,75,82
<S_FG>,I know who Michael talked to last year and fell in love with today,True,today,61,66
<S_XG>,I know that Michael talked to Christopher last year and fell in love with today,False,today,74,79
<S_FX>,I know who Michael talked to last year and fell in love with Matthew today,False,Matthew,61,68
<S_XX>,I know that Michael talked to Christopher last year and fell in love with Matthew today,True,Matthew,74,81
<S_FG>,I know who Michael talked to last year and fell in love with recently,True,recently,61,69
<S_XG>,I know that Michael talked to Christopher last year and fell in love with recently,False,recently,74,82
<S_FX>,I know who Michael talked to last year and fell in love with Matthew recently,False,Matthew,61,68
<S_XX>,I know that Michael talked to Christopher last year and fell in love with Matthew recently,True,Matthew,74,81
<S_FG>,I know who Michael talked to last year and fell in love with lately,True,lately,61,67
<S_XG>,I know that Michael talked to Christopher last year and fell in love with lately,False,lately,74,80
<S_FX>,I know who Michael talked to last year and fell in love with Matthew lately,False,Matthew,61,68
<S_XX>,I know that Michael talked to Christopher last year and fell in love with Matthew lately,True,Matthew,74,81
<S_FG>,I know who Michael talked to last year and started to like today,True,today,59,64
<S_XG>,I know that Michael talked to Christopher last year and started to like today,False,today,72,77
<S_FX>,I know who Michael talked to last year and started to like Matthew today,False,Matthew,59,66
<S_XX>,I know that Michael talked to Christopher last year and started to like Matthew today,True,Matthew,72,79
<S_FG>,I know who Michael talked to last year and started to like recently,True,recently,59,67
<S_XG>,I know that Michael talked to Christopher last year and started to like recently,False,recently,72,80
<S_FX>,I know who Michael talked to last year and started to like Matthew recently,False,Matthew,59,66
<S_XX>,I know that Michael talked to Christopher last year and started to like Matthew recently,True,Matthew,72,79
<S_FG>,I know who Michael talked to last year and started to like lately,True,lately,59,65
<S_XG>,I know that Michael talked to Christopher last year and started to like lately,False,lately,72,78
<S_FX>,I know who Michael talked to last year and started to like Matthew lately,False,Matthew,59,66
<S_XX>,I know that Michael talked to Christopher last year and started to like Matthew lately,True,Matthew,72,79
<S_FG>,I know who Michael called last year and argued with today,True,today,52,57
<S_XG>,I know that Michael called Christopher last year and argued with today,False,today,65,70
<S_FX>,I know who Michael called last year and argued with Matthew today,False,Matthew,52,59
<S_XX>,I know that Michael called Christopher last year and argued with Matthew today,True,Matthew,65,72
<S_FG>,I know who Michael called last year and argued with recently,True,recently,52,60
<S_XG>,I know that Michael called Christopher last year and argued with recently,False,recently,65,73
<S_FX>,I know who Michael called last year and argued with Matthew recently,False,Matthew,52,59
<S_XX>,I know that Michael called Christopher last year and argued with Matthew recently,True,Matthew,65,72
<S_FG>,I know who Michael called last year and argued with lately,True,lately,52,58
<S_XG>,I know that Michael called Christopher last year and argued with lately,False,lately,65,71
<S_FX>,I know who Michael called last year and argued with Matthew lately,False,Matthew,52,59
<S_XX>,I know that Michael called Christopher last year and argued with Matthew lately,True,Matthew,65,72
<S_FG>,I know who Michael called last year and had a fight with today,True,today,57,62
<S_XG>,I know that Michael called Christopher last year and had a fight with today,False,today,70,75
<S_FX>,I know who Michael called last year and had a fight with Matthew today,False,Matthew,57,64
<S_XX>,I know that Michael called Christopher last year and had a fight with Matthew today,True,Matthew,70,77
<S_FG>,I know who Michael called last year and had a fight with recently,True,recently,57,65
<S_XG>,I know that Michael called Christopher last year and had a fight with recently,False,recently,70,78
<S_FX>,I know who Michael called last year and had a fight with Matthew recently,False,Matthew,57,64
<S_XX>,I know that Michael called Christopher last year and had a fight with Matthew recently,True,Matthew,70,77
<S_FG>,I know who Michael called last year and had a fight with lately,True,lately,57,63
<S_XG>,I know that Michael called Christopher last year and had a fight with lately,False,lately,70,76
<S_FX>,I know who Michael called last year and had a fight with Matthew lately,False,Matthew,57,64
<S_XX>,I know that Michael called Christopher last year and had a fight with Matthew lately,True,Matthew,70,77
<S_FG>,I know who Michael called last year and made peace with today,True,today,56,61
<S_XG>,I know that Michael called Christopher last year and made peace with today,False,today,69,74
<S_FX>,I know who Michael called last year and made peace with Matthew today,False,Matthew,56,63
<S_XX>,I know that Michael called Christopher last year and made peace with Matthew today,True,Matthew,69,76
<S_FG>,I know who Michael called last year and made peace with recently,True,recently,56,64
<S_XG>,I know that Michael called Christopher last year and made peace with recently,False,recently,69,77
<S_FX>,I know who Michael called last year and made peace with Matthew recently,False,Matthew,56,63
<S_XX>,I know that Michael called Christopher last year and made peace with Matthew recently,True,Matthew,69,76
<S_FG>,I know who Michael called last year and made peace with lately,True,lately,56,62
<S_XG>,I know that Michael called Christopher last year and made peace with lately,False,lately,69,75
<S_FX>,I know who Michael called last year and made peace with Matthew lately,False,Matthew,56,63
<S_XX>,I know that Michael called Christopher last year and made peace with Matthew lately,True,Matthew,69,76
<S_FG>,I know who Michael called last year and stopped talking to today,True,today,59,64
<S_XG>,I know that Michael called Christopher last year and stopped talking to today,False,today,72,77
<S_FX>,I know who Michael called last year and stopped talking to Matthew today,False,Matthew,59,66
<S_XX>,I know that Michael called Christopher last year and stopped talking to Matthew today,True,Matthew,72,79
<S_FG>,I know who Michael called last year and stopped talking to recently,True,recently,59,67
<S_XG>,I know that Michael called Christopher last year and stopped talking to recently,False,recently,72,80
<S_FX>,I know who Michael called last year and stopped talking to Matthew recently,False,Matthew,59,66
<S_XX>,I know that Michael called Christopher last year and stopped talking to Matthew recently,True,Matthew,72,79
<S_FG>,I know who Michael called last year and stopped talking to lately,True,lately,59,65
<S_XG>,I know that Michael called Christopher last year and stopped talking to lately,False,lately,72,78
<S_FX>,I know who Michael called last year and stopped talking to Matthew lately,False,Matthew,59,66
<S_XX>,I know that Michael called Christopher last year and stopped talking to Matthew lately,True,Matthew,72,79
<S_FG>,I know who Michael called last year and fell in love with today,True,today,58,63
<S_XG>,I know that Michael called Christopher last year and fell in love with today,False,today,71,76
<S_FX>,I know who Michael called last year and fell in love with Matthew today,False,Matthew,58,65
<S_XX>,I know that Michael called Christopher last year and fell in love with Matthew today,True,Matthew,71,78
<S_FG>,I know who Michael called last year and fell in love with recently,True,recently,58,66
<S_XG>,I know that Michael called Christopher last year and fell in love with recently,False,recently,71,79
<S_FX>,I know who Michael called last year and fell in love with Matthew recently,False,Matthew,58,65
<S_XX>,I know that Michael called Christopher last year and fell in love with Matthew recently,True,Matthew,71,78
<S_FG>,I know who Michael called last year and fell in love with lately,True,lately,58,64
<S_XG>,I know that Michael called Christopher last year and fell in love with lately,False,lately,71,77
<S_FX>,I know who Michael called last year and fell in love with Matthew lately,False,Matthew,58,65
<S_XX>,I know that Michael called Christopher last year and fell in love with Matthew lately,True,Matthew,71,78
<S_FG>,I know who Michael called last year and started to like today,True,today,56,61
<S_XG>,I know that Michael called Christopher last year and started to like today,False,today,69,74
<S_FX>,I know who Michael called last year and started to like Matthew today,False,Matthew,56,63
<S_XX>,I know that Michael called Christopher last year and started to like Matthew today,True,Matthew,69,76
<S_FG>,I know who Michael called last year and started to like recently,True,recently,56,64
<S_XG>,I know that Michael called Christopher last year and started to like recently,False,recently,69,77
<S_FX>,I know who Michael called last year and started to like Matthew recently,False,Matthew,56,63
<S_XX>,I know that Michael called Christopher last year and started to like Matthew recently,True,Matthew,69,76
<S_FG>,I know who Michael called last year and started to like lately,True,lately,56,62
<S_XG>,I know that Michael called Christopher last year and started to like lately,False,lately,69,75
<S_FX>,I know who Michael called last year and started to like Matthew lately,False,Matthew,56,63
<S_XX>,I know that Michael called Christopher last year and started to like Matthew lately,True,Matthew,69,76
<S_FG>,I know who Michael texted last year and argued with today,True,today,52,57
<S_XG>,I know that Michael texted Christopher last year and argued with today,False,today,65,70
<S_FX>,I know who Michael texted last year and argued with Matthew today,False,Matthew,52,59
<S_XX>,I know that Michael texted Christopher last year and argued with Matthew today,True,Matthew,65,72
<S_FG>,I know who Michael texted last year and argued with recently,True,recently,52,60
<S_XG>,I know that Michael texted Christopher last year and argued with recently,False,recently,65,73
<S_FX>,I know who Michael texted last year and argued with Matthew recently,False,Matthew,52,59
<S_XX>,I know that Michael texted Christopher last year and argued with Matthew recently,True,Matthew,65,72
<S_FG>,I know who Michael texted last year and argued with lately,True,lately,52,58
<S_XG>,I know that Michael texted Christopher last year and argued with lately,False,lately,65,71
<S_FX>,I know who Michael texted last year and argued with Matthew lately,False,Matthew,52,59
<S_XX>,I know that Michael texted Christopher last year and argued with Matthew lately,True,Matthew,65,72
<S_FG>,I know who Michael texted last year and had a fight with today,True,today,57,62
<S_XG>,I know that Michael texted Christopher last year and had a fight with today,False,today,70,75
<S_FX>,I know who Michael texted last year and had a fight with Matthew today,False,Matthew,57,64
<S_XX>,I know that Michael texted Christopher last year and had a fight with Matthew today,True,Matthew,70,77
<S_FG>,I know who Michael texted last year and had a fight with recently,True,recently,57,65
<S_XG>,I know that Michael texted Christopher last year and had a fight with recently,False,recently,70,78
<S_FX>,I know who Michael texted last year and had a fight with Matthew recently,False,Matthew,57,64
<S_XX>,I know that Michael texted Christopher last year and had a fight with Matthew recently,True,Matthew,70,77
<S_FG>,I know who Michael texted last year and had a fight with lately,True,lately,57,63
<S_XG>,I know that Michael texted Christopher last year and had a fight with lately,False,lately,70,76
<S_FX>,I know who Michael texted last year and had a fight with Matthew lately,False,Matthew,57,64
<S_XX>,I know that Michael texted Christopher last year and had a fight with Matthew lately,True,Matthew,70,77
<S_FG>,I know who Michael texted last year and made peace with today,True,today,56,61
<S_XG>,I know that Michael texted Christopher last year and made peace with today,False,today,69,74
<S_FX>,I know who Michael texted last year and made peace with Matthew today,False,Matthew,56,63
<S_XX>,I know that Michael texted Christopher last year and made peace with Matthew today,True,Matthew,69,76
<S_FG>,I know who Michael texted last year and made peace with recently,True,recently,56,64
<S_XG>,I know that Michael texted Christopher last year and made peace with recently,False,recently,69,77
<S_FX>,I know who Michael texted last year and made peace with Matthew recently,False,Matthew,56,63
<S_XX>,I know that Michael texted Christopher last year and made peace with Matthew recently,True,Matthew,69,76
<S_FG>,I know who Michael texted last year and made peace with lately,True,lately,56,62
<S_XG>,I know that Michael texted Christopher last year and made peace with lately,False,lately,69,75
<S_FX>,I know who Michael texted last year and made peace with Matthew lately,False,Matthew,56,63
<S_XX>,I know that Michael texted Christopher last year and made peace with Matthew lately,True,Matthew,69,76
<S_FG>,I know who Michael texted last year and stopped talking to today,True,today,59,64
<S_XG>,I know that Michael texted Christopher last year and stopped talking to today,False,today,72,77
<S_FX>,I know who Michael texted last year and stopped talking to Matthew today,False,Matthew,59,66
<S_XX>,I know that Michael texted Christopher last year and stopped talking to Matthew today,True,Matthew,72,79
<S_FG>,I know who Michael texted last year and stopped talking to recently,True,recently,59,67
<S_XG>,I know that Michael texted Christopher last year and stopped talking to recently,False,recently,72,80
<S_FX>,I know who Michael texted last year and stopped talking to Matthew recently,False,Matthew,59,66
<S_XX>,I know that Michael texted Christopher last year and stopped talking to Matthew recently,True,Matthew,72,79
<S_FG>,I know who Michael texted last year and stopped talking to lately,True,lately,59,65
<S_XG>,I know that Michael texted Christopher last year and stopped talking to lately,False,lately,72,78
<S_FX>,I know who Michael texted last year and stopped talking to Matthew lately,False,Matthew,59,66
<S_XX>,I know that Michael texted Christopher last year and stopped talking to Matthew lately,True,Matthew,72,79
<S_FG>,I know who Michael texted last year and fell in love with today,True,today,58,63
<S_XG>,I know that Michael texted Christopher last year and fell in love with today,False,today,71,76
<S_FX>,I know who Michael texted last year and fell in love with Matthew today,False,Matthew,58,65
<S_XX>,I know that Michael texted Christopher last year and fell in love with Matthew today,True,Matthew,71,78
<S_FG>,I know who Michael texted last year and fell in love with recently,True,recently,58,66
<S_XG>,I know that Michael texted Christopher last year and fell in love with recently,False,recently,71,79
<S_FX>,I know who Michael texted last year and fell in love with Matthew recently,False,Matthew,58,65
<S_XX>,I know that Michael texted Christopher last year and fell in love with Matthew recently,True,Matthew,71,78
<S_FG>,I know who Michael texted last year and fell in love with lately,True,lately,58,64
<S_XG>,I know that Michael texted Christopher last year and fell in love with lately,False,lately,71,77
<S_FX>,I know who Michael texted last year and fell in love with Matthew lately,False,Matthew,58,65
<S_XX>,I know that Michael texted Christopher last year and fell in love with Matthew lately,True,Matthew,71,78
<S_FG>,I know who Michael texted last year and started to like today,True,today,56,61
<S_XG>,I know that Michael texted Christopher last year and started to like today,False,today,69,74
<S_FX>,I know who Michael texted last year and started to like Matthew today,False,Matthew,56,63
<S_XX>,I know that Michael texted Christopher last year and started to like Matthew today,True,Matthew,69,76
<S_FG>,I know who Michael texted last year and started to like recently,True,recently,56,64
<S_XG>,I know that Michael texted Christopher last year and started to like recently,False,recently,69,77
<S_FX>,I know who Michael texted last year and started to like Matthew recently,False,Matthew,56,63
<S_XX>,I know that Michael texted Christopher last year and started to like Matthew recently,True,Matthew,69,76
<S_FG>,I know who Michael texted last year and started to like lately,True,lately,56,62
<S_XG>,I know that Michael texted Christopher last year and started to like lately,False,lately,69,75
<S_FX>,I know who Michael texted last year and started to like Matthew lately,False,Matthew,56,63
<S_XX>,I know that Michael texted Christopher last year and started to like Matthew lately,True,Matthew,69,76
<S_FG>,I know who Michael yelled at last year and argued with today,True,today,55,60
<S_XG>,I know that Michael yelled at Christopher last year and argued with today,False,today,68,73
<S_FX>,I know who Michael yelled at last year and argued with Matthew today,False,Matthew,55,62
<S_XX>,I know that Michael yelled at Christopher last year and argued with Matthew today,True,Matthew,68,75
<S_FG>,I know who Michael yelled at last year and argued with recently,True,recently,55,63
<S_XG>,I know that Michael yelled at Christopher last year and argued with recently,False,recently,68,76
<S_FX>,I know who Michael yelled at last year and argued with Matthew recently,False,Matthew,55,62
<S_XX>,I know that Michael yelled at Christopher last year and argued with Matthew recently,True,Matthew,68,75
<S_FG>,I know who Michael yelled at last year and argued with lately,True,lately,55,61
<S_XG>,I know that Michael yelled at Christopher last year and argued with lately,False,lately,68,74
<S_FX>,I know who Michael yelled at last year and argued with Matthew lately,False,Matthew,55,62
<S_XX>,I know that Michael yelled at Christopher last year and argued with Matthew lately,True,Matthew,68,75
<S_FG>,I know who Michael yelled at last year and had a fight with today,True,today,60,65
<S_XG>,I know that Michael yelled at Christopher last year and had a fight with today,False,today,73,78
<S_FX>,I know who Michael yelled at last year and had a fight with Matthew today,False,Matthew,60,67
<S_XX>,I know that Michael yelled at Christopher last year and had a fight with Matthew today,True,Matthew,73,80
<S_FG>,I know who Michael yelled at last year and had a fight with recently,True,recently,60,68
<S_XG>,I know that Michael yelled at Christopher last year and had a fight with recently,False,recently,73,81
<S_FX>,I know who Michael yelled at last year and had a fight with Matthew recently,False,Matthew,60,67
<S_XX>,I know that Michael yelled at Christopher last year and had a fight with Matthew recently,True,Matthew,73,80
<S_FG>,I know who Michael yelled at last year and had a fight with lately,True,lately,60,66
<S_XG>,I know that Michael yelled at Christopher last year and had a fight with lately,False,lately,73,79
<S_FX>,I know who Michael yelled at last year and had a fight with Matthew lately,False,Matthew,60,67
<S_XX>,I know that Michael yelled at Christopher last year and had a fight with Matthew lately,True,Matthew,73,80
<S_FG>,I know who Michael yelled at last year and made peace with today,True,today,59,64
<S_XG>,I know that Michael yelled at Christopher last year and made peace with today,False,today,72,77
<S_FX>,I know who Michael yelled at last year and made peace with Matthew today,False,Matthew,59,66
<S_XX>,I know that Michael yelled at Christopher last year and made peace with Matthew today,True,Matthew,72,79
<S_FG>,I know who Michael yelled at last year and made peace with recently,True,recently,59,67
<S_XG>,I know that Michael yelled at Christopher last year and made peace with recently,False,recently,72,80
<S_FX>,I know who Michael yelled at last year and made peace with Matthew recently,False,Matthew,59,66
<S_XX>,I know that Michael yelled at Christopher last year and made peace with Matthew recently,True,Matthew,72,79
<S_FG>,I know who Michael yelled at last year and made peace with lately,True,lately,59,65
<S_XG>,I know that Michael yelled at Christopher last year and made peace with lately,False,lately,72,78
<S_FX>,I know who Michael yelled at last year and made peace with Matthew lately,False,Matthew,59,66
<S_XX>,I know that Michael yelled at Christopher last year and made peace with Matthew lately,True,Matthew,72,79
<S_FG>,I know who Michael yelled at last year and stopped talking to today,True,today,62,67
<S_XG>,I know that Michael yelled at Christopher last year and stopped talking to today,False,today,75,80
<S_FX>,I know who Michael yelled at last year and stopped talking to Matthew today,False,Matthew,62,69
<S_XX>,I know that Michael yelled at Christopher last year and stopped talking to Matthew today,True,Matthew,75,82
<S_FG>,I know who Michael yelled at last year and stopped talking to recently,True,recently,62,70
<S_XG>,I know that Michael yelled at Christopher last year and stopped talking to recently,False,recently,75,83
<S_FX>,I know who Michael yelled at last year and stopped talking to Matthew recently,False,Matthew,62,69
<S_XX>,I know that Michael yelled at Christopher last year and stopped talking to Matthew recently,True,Matthew,75,82
<S_FG>,I know who Michael yelled at last year and stopped talking to lately,True,lately,62,68
<S_XG>,I know that Michael yelled at Christopher last year and stopped talking to lately,False,lately,75,81
<S_FX>,I know who Michael yelled at last year and stopped talking to Matthew lately,False,Matthew,62,69
<S_XX>,I know that Michael yelled at Christopher last year and stopped talking to Matthew lately,True,Matthew,75,82
<S_FG>,I know who Michael yelled at last year and fell in love with today,True,today,61,66
<S_XG>,I know that Michael yelled at Christopher last year and fell in love with today,False,today,74,79
<S_FX>,I know who Michael yelled at last year and fell in love with Matthew today,False,Matthew,61,68
<S_XX>,I know that Michael yelled at Christopher last year and fell in love with Matthew today,True,Matthew,74,81
<S_FG>,I know who Michael yelled at last year and fell in love with recently,True,recently,61,69
<S_XG>,I know that Michael yelled at Christopher last year and fell in love with recently,False,recently,74,82
<S_FX>,I know who Michael yelled at last year and fell in love with Matthew recently,False,Matthew,61,68
<S_XX>,I know that Michael yelled at Christopher last year and fell in love with Matthew recently,True,Matthew,74,81
<S_FG>,I know who Michael yelled at last year and fell in love with lately,True,lately,61,67
<S_XG>,I know that Michael yelled at Christopher last year and fell in love with lately,False,lately,74,80
<S_FX>,I know who Michael yelled at last year and fell in love with Matthew lately,False,Matthew,61,68
<S_XX>,I know that Michael yelled at Christopher last year and fell in love with Matthew lately,True,Matthew,74,81
<S_FG>,I know who Michael yelled at last year and started to like today,True,today,59,64
<S_XG>,I know that Michael yelled at Christopher last year and started to like today,False,today,72,77
<S_FX>,I know who Michael yelled at last year and started to like Matthew today,False,Matthew,59,66
<S_XX>,I know that Michael yelled at Christopher last year and started to like Matthew today,True,Matthew,72,79
<S_FG>,I know who Michael yelled at last year and started to like recently,True,recently,59,67
<S_XG>,I know that Michael yelled at Christopher last year and started to like recently,False,recently,72,80
<S_FX>,I know who Michael yelled at last year and started to like Matthew recently,False,Matthew,59,66
<S_XX>,I know that Michael yelled at Christopher last year and started to like Matthew recently,True,Matthew,72,79
<S_FG>,I know who Michael yelled at last year and started to like lately,True,lately,59,65
<S_XG>,I know that Michael yelled at Christopher last year and started to like lately,False,lately,72,78
<S_FX>,I know who Michael yelled at last year and started to like Matthew lately,False,Matthew,59,66
<S_XX>,I know that Michael yelled at Christopher last year and started to like Matthew lately,True,Matthew,72,79
<S_FG>,I know who Michael humiliated last year and argued with today,True,today,56,61
<S_XG>,I know that Michael humiliated Christopher last year and argued with today,False,today,69,74
<S_FX>,I know who Michael humiliated last year and argued with Matthew today,False,Matthew,56,63
<S_XX>,I know that Michael humiliated Christopher last year and argued with Matthew today,True,Matthew,69,76
<S_FG>,I know who Michael humiliated last year and argued with recently,True,recently,56,64
<S_XG>,I know that Michael humiliated Christopher last year and argued with recently,False,recently,69,77
<S_FX>,I know who Michael humiliated last year and argued with Matthew recently,False,Matthew,56,63
<S_XX>,I know that Michael humiliated Christopher last year and argued with Matthew recently,True,Matthew,69,76
<S_FG>,I know who Michael humiliated last year and argued with lately,True,lately,56,62
<S_XG>,I know that Michael humiliated Christopher last year and argued with lately,False,lately,69,75
<S_FX>,I know who Michael humiliated last year and argued with Matthew lately,False,Matthew,56,63
<S_XX>,I know that Michael humiliated Christopher last year and argued with Matthew lately,True,Matthew,69,76
<S_FG>,I know who Michael humiliated last year and had a fight with today,True,today,61,66
<S_XG>,I know that Michael humiliated Christopher last year and had a fight with today,False,today,74,79
<S_FX>,I know who Michael humiliated last year and had a fight with Matthew today,False,Matthew,61,68
<S_XX>,I know that Michael humiliated Christopher last year and had a fight with Matthew today,True,Matthew,74,81
<S_FG>,I know who Michael humiliated last year and had a fight with recently,True,recently,61,69
<S_XG>,I know that Michael humiliated Christopher last year and had a fight with recently,False,recently,74,82
<S_FX>,I know who Michael humiliated last year and had a fight with Matthew recently,False,Matthew,61,68
<S_XX>,I know that Michael humiliated Christopher last year and had a fight with Matthew recently,True,Matthew,74,81
<S_FG>,I know who Michael humiliated last year and had a fight with lately,True,lately,61,67
<S_XG>,I know that Michael humiliated Christopher last year and had a fight with lately,False,lately,74,80
<S_FX>,I know who Michael humiliated last year and had a fight with Matthew lately,False,Matthew,61,68
<S_XX>,I know that Michael humiliated Christopher last year and had a fight with Matthew lately,True,Matthew,74,81
<S_FG>,I know who Michael humiliated last year and made peace with today,True,today,60,65
<S_XG>,I know that Michael humiliated Christopher last year and made peace with today,False,today,73,78
<S_FX>,I know who Michael humiliated last year and made peace with Matthew today,False,Matthew,60,67
<S_XX>,I know that Michael humiliated Christopher last year and made peace with Matthew today,True,Matthew,73,80
<S_FG>,I know who Michael humiliated last year and made peace with recently,True,recently,60,68
<S_XG>,I know that Michael humiliated Christopher last year and made peace with recently,False,recently,73,81
<S_FX>,I know who Michael humiliated last year and made peace with Matthew recently,False,Matthew,60,67
<S_XX>,I know that Michael humiliated Christopher last year and made peace with Matthew recently,True,Matthew,73,80
<S_FG>,I know who Michael humiliated last year and made peace with lately,True,lately,60,66
<S_XG>,I know that Michael humiliated Christopher last year and made peace with lately,False,lately,73,79
<S_FX>,I know who Michael humiliated last year and made peace with Matthew lately,False,Matthew,60,67
<S_XX>,I know that Michael humiliated Christopher last year and made peace with Matthew lately,True,Matthew,73,80
<S_FG>,I know who Michael humiliated last year and stopped talking to today,True,today,63,68
<S_XG>,I know that Michael humiliated Christopher last year and stopped talking to today,False,today,76,81
<S_FX>,I know who Michael humiliated last year and stopped talking to Matthew today,False,Matthew,63,70
<S_XX>,I know that Michael humiliated Christopher last year and stopped talking to Matthew today,True,Matthew,76,83
<S_FG>,I know who Michael humiliated last year and stopped talking to recently,True,recently,63,71
<S_XG>,I know that Michael humiliated Christopher last year and stopped talking to recently,False,recently,76,84
<S_FX>,I know who Michael humiliated last year and stopped talking to Matthew recently,False,Matthew,63,70
<S_XX>,I know that Michael humiliated Christopher last year and stopped talking to Matthew recently,True,Matthew,76,83
<S_FG>,I know who Michael humiliated last year and stopped talking to lately,True,lately,63,69
<S_XG>,I know that Michael humiliated Christopher last year and stopped talking to lately,False,lately,76,82
<S_FX>,I know who Michael humiliated last year and stopped talking to Matthew lately,False,Matthew,63,70
<S_XX>,I know that Michael humiliated Christopher last year and stopped talking to Matthew lately,True,Matthew,76,83
<S_FG>,I know who Michael humiliated last year and fell in love with today,True,today,62,67
<S_XG>,I know that Michael humiliated Christopher last year and fell in love with today,False,today,75,80
<S_FX>,I know who Michael humiliated last year and fell in love with Matthew today,False,Matthew,62,69
<S_XX>,I know that Michael humiliated Christopher last year and fell in love with Matthew today,True,Matthew,75,82
<S_FG>,I know who Michael humiliated last year and fell in love with recently,True,recently,62,70
<S_XG>,I know that Michael humiliated Christopher last year and fell in love with recently,False,recently,75,83
<S_FX>,I know who Michael humiliated last year and fell in love with Matthew recently,False,Matthew,62,69
<S_XX>,I know that Michael humiliated Christopher last year and fell in love with Matthew recently,True,Matthew,75,82
<S_FG>,I know who Michael humiliated last year and fell in love with lately,True,lately,62,68
<S_XG>,I know that Michael humiliated Christopher last year and fell in love with lately,False,lately,75,81
<S_FX>,I know who Michael humiliated last year and fell in love with Matthew lately,False,Matthew,62,69
<S_XX>,I know that Michael humiliated Christopher last year and fell in love with Matthew lately,True,Matthew,75,82
<S_FG>,I know who Michael humiliated last year and started to like today,True,today,60,65
<S_XG>,I know that Michael humiliated Christopher last year and started to like today,False,today,73,78
<S_FX>,I know who Michael humiliated last year and started to like Matthew today,False,Matthew,60,67
