group,grammatical,sentence,a condition,b condition
21,True,"these cakes, Susan threw carefully",+,+
21,False,"indeed, Susan threw carefully",-,+
21,False,"these cakes, Susan threw a phone carefully",+,-
21,True,"indeed, Susan threw a phone carefully",-,-
22,True,"these cakes, Susan threw without falling",+,+
22,False,"indeed, Susan threw without falling",-,+
22,False,"these cakes, Susan threw a phone without falling",+,-
22,True,"indeed, Susan threw a phone without falling",-,-
23,True,"these cakes, Susan threw quickly",+,+
23,False,"indeed, Susan threw quickly",-,+
23,False,"these cakes, Susan threw a phone quickly",+,-
23,True,"indeed, Susan threw a phone quickly",-,-
24,True,"these cakes, Susan threw carefully",+,+
24,False,"indeed, Susan threw carefully",-,+
24,False,"these cakes, Susan threw the paperwork carefully",+,-
24,True,"indeed, Susan threw the paperwork carefully",-,-
25,True,"these cakes, Susan threw without falling",+,+
25,False,"indeed, Susan threw without falling",-,+
25,False,"these cakes, Susan threw the paperwork without falling",+,-
25,True,"indeed, Susan threw the paperwork without falling",-,-
26,True,"these cakes, Susan threw quickly",+,+
26,False,"indeed, Susan threw quickly",-,+
26,False,"these cakes, Susan threw the paperwork quickly",+,-
26,True,"indeed, Susan threw the paperwork quickly",-,-
27,True,"these cakes, Michelle lifted carefully",+,+
27,False,"indeed, Michelle lifted carefully",-,+
27,False,"these cakes, Michelle lifted your jacket carefully",+,-
27,True,"indeed, Michelle lifted your jacket carefully",-,-
28,True,"these cakes, Michelle lifted without falling",+,+
28,False,"indeed, Michelle lifted without falling",-,+
28,False,"these cakes, Michelle lifted your jacket without falling",+,-
28,True,"indeed, Michelle lifted your jacket without falling",-,-
29,True,"these cakes, Michelle lifted quickly",+,+
29,False,"indeed, Michelle lifted quickly",-,+
29,False,"these cakes, Michelle lifted your jacket quickly",+,-
29,True,"indeed, Michelle lifted your jacket quickly",-,-
30,True,"these cakes, Michelle lifted carefully",+,+
30,False,"indeed, Michelle lifted carefully",-,+
30,False,"these cakes, Michelle lifted a phone carefully",+,-
30,True,"indeed, Michelle lifted a phone carefully",-,-
31,True,"these cakes, Michelle lifted without falling",+,+
31,False,"indeed, Michelle lifted without falling",-,+
31,False,"these cakes, Michelle lifted a phone without falling",+,-
31,True,"indeed, Michelle lifted a phone without falling",-,-
32,True,"these cakes, Michelle lifted quickly",+,+
32,False,"indeed, Michelle lifted quickly",-,+
32,False,"these cakes, Michelle lifted a phone quickly",+,-
32,True,"indeed, Michelle lifted a phone quickly",-,-
33,True,"these cakes, Michelle lifted carefully",+,+
33,False,"indeed, Michelle lifted carefully",-,+
33,False,"these cakes, Michelle lifted the paperwork carefully",+,-
33,True,"indeed, Michelle lifted the paperwork carefully",-,-
34,True,"these cakes, Michelle lifted without falling",+,+
34,False,"indeed, Michelle lifted without falling",-,+
34,False,"these cakes, Michelle lifted the paperwork without falling",+,-
34,True,"indeed, Michelle lifted the paperwork without falling",-,-
35,True,"these cakes, Michelle lifted quickly",+,+
35,False,"indeed, Michelle lifted quickly",-,+
35,False,"these cakes, Michelle lifted the paperwork quickly",+,-
35,True,"indeed, Michelle lifted the paperwork quickly",-,-
36,True,"these cakes, Michelle stole carefully",+,+
36,False,"indeed, Michelle stole carefully",-,+
36,False,"these cakes, Michelle stole your jacket carefully",+,-
36,True,"indeed, Michelle stole your jacket carefully",-,-
37,True,"these cakes, Michelle stole without falling",+,+
37,False,"indeed, Michelle stole without falling",-,+
37,False,"these cakes, Michelle stole your jacket without falling",+,-
37,True,"indeed, Michelle stole your jacket without falling",-,-
38,True,"these cakes, Michelle stole quickly",+,+
38,False,"indeed, Michelle stole quickly",-,+
38,False,"these cakes, Michelle stole your jacket quickly",+,-
38,True,"indeed, Michelle stole your jacket quickly",-,-
39,True,"these cakes, Michelle stole carefully",+,+
39,False,"indeed, Michelle stole carefully",-,+
39,False,"these cakes, Michelle stole a phone carefully",+,-
39,True,"indeed, Michelle stole a phone carefully",-,-
40,True,"these cakes, Michelle stole without falling",+,+
40,False,"indeed, Michelle stole without falling",-,+
40,False,"these cakes, Michelle stole a phone without falling",+,-
40,True,"indeed, Michelle stole a phone without falling",-,-
41,True,"these cakes, Michelle stole quickly",+,+
41,False,"indeed, Michelle stole quickly",-,+
41,False,"these cakes, Michelle stole a phone quickly",+,-
41,True,"indeed, Michelle stole a phone quickly",-,-
42,True,"these cakes, Michelle stole carefully",+,+
42,False,"indeed, Michelle stole carefully",-,+
42,False,"these cakes, Michelle stole the paperwork carefully",+,-
42,True,"indeed, Michelle stole the paperwork carefully",-,-
43,True,"these cakes, Michelle stole without falling",+,+
43,False,"indeed, Michelle stole without falling",-,+
43,False,"these cakes, Michelle stole the paperwork without falling",+,-
43,True,"indeed, Michelle stole the paperwork without falling",-,-
44,True,"these cakes, Michelle stole quickly",+,+
44,False,"indeed, Michelle stole quickly",-,+
44,False,"these cakes, Michelle stole the paperwork quickly",+,-
44,True,"indeed, Michelle stole the paperwork quickly",-,-
45,True,"these cakes, Michelle threw carefully",+,+
45,False,"indeed, Michelle threw carefully",-,+
45,False,"these cakes, Michelle threw your jacket carefully",+,-
45,True,"indeed, Michelle threw your jacket carefully",-,-
46,True,"these cakes, Michelle threw without falling",+,+
46,False,"indeed, Michelle threw without falling",-,+
46,False,"these cakes, Michelle threw your jacket without falling",+,-
46,True,"indeed, Michelle threw your jacket without falling",-,-
47,True,"these cakes, Michelle threw quickly",+,+
47,False,"indeed, Michelle threw quickly",-,+
47,False,"these cakes, Michelle threw your jacket quickly",+,-
47,True,"indeed, Michelle threw your jacket quickly",-,-
48,True,"these cakes, Michelle threw carefully",+,+
48,False,"indeed, Michelle threw carefully",-,+
48,False,"these cakes, Michelle threw a phone carefully",+,-
48,True,"indeed, Michelle threw a phone carefully",-,-
49,True,"these cakes, Michelle threw without falling",+,+
49,False,"indeed, Michelle threw without falling",-,+
49,False,"these cakes, Michelle threw a phone without falling",+,-
49,True,"indeed, Michelle threw a phone without falling",-,-
50,True,"these cakes, Michelle threw quickly",+,+
50,False,"indeed, Michelle threw quickly",-,+
50,False,"these cakes, Michelle threw a phone quickly",+,-
50,True,"indeed, Michelle threw a phone quickly",-,-
51,True,"these cakes, Michelle threw carefully",+,+
51,False,"indeed, Michelle threw carefully",-,+
51,False,"these cakes, Michelle threw the paperwork carefully",+,-
51,True,"indeed, Michelle threw the paperwork carefully",-,-
52,True,"these cakes, Michelle threw without falling",+,+
52,False,"indeed, Michelle threw without falling",-,+
52,False,"these cakes, Michelle threw the paperwork without falling",+,-
52,True,"indeed, Michelle threw the paperwork without falling",-,-
53,True,"these cakes, Michelle threw quickly",+,+
53,False,"indeed, Michelle threw quickly",-,+
53,False,"these cakes, Michelle threw the paperwork quickly",+,-
53,True,"indeed, Michelle threw the paperwork quickly",-,-
54,True,"these cakes, Susan lifted carefully",+,+
54,False,"meanwhile, Susan lifted carefully",-,+
54,False,"these cakes, Susan lifted your jacket carefully",+,-
54,True,"meanwhile, Susan lifted your jacket carefully",-,-
55,True,"these cakes, Susan lifted without falling",+,+
55,False,"meanwhile, Susan lifted without falling",-,+
55,False,"these cakes, Susan lifted your jacket without falling",+,-
55,True,"meanwhile, Susan lifted your jacket without falling",-,-
56,True,"these cakes, Susan lifted quickly",+,+
56,False,"meanwhile, Susan lifted quickly",-,+
56,False,"these cakes, Susan lifted your jacket quickly",+,-
56,True,"meanwhile, Susan lifted your jacket quickly",-,-
57,True,"these cakes, Susan lifted carefully",+,+
57,False,"meanwhile, Susan lifted carefully",-,+
57,False,"these cakes, Susan lifted a phone carefully",+,-
57,True,"meanwhile, Susan lifted a phone carefully",-,-
58,True,"these cakes, Susan lifted without falling",+,+
58,False,"meanwhile, Susan lifted without falling",-,+
58,False,"these cakes, Susan lifted a phone without falling",+,-
58,True,"meanwhile, Susan lifted a phone without falling",-,-
59,True,"these cakes, Susan lifted quickly",+,+
59,False,"meanwhile, Susan lifted quickly",-,+
59,False,"these cakes, Susan lifted a phone quickly",+,-
59,True,"meanwhile, Susan lifted a phone quickly",-,-
60,True,"these cakes, Susan lifted carefully",+,+
60,False,"meanwhile, Susan lifted carefully",-,+
60,False,"these cakes, Susan lifted the paperwork carefully",+,-
60,True,"meanwhile, Susan lifted the paperwork carefully",-,-
61,True,"these cakes, Susan lifted without falling",+,+
61,False,"meanwhile, Susan lifted without falling",-,+
61,False,"these cakes, Susan lifted the paperwork without falling",+,-
61,True,"meanwhile, Susan lifted the paperwork without falling",-,-
62,True,"these cakes, Susan lifted quickly",+,+
62,False,"meanwhile, Susan lifted quickly",-,+
62,False,"these cakes, Susan lifted the paperwork quickly",+,-
62,True,"meanwhile, Susan lifted the paperwork quickly",-,-
63,True,"these cakes, Susan stole carefully",+,+
63,False,"meanwhile, Susan stole carefully",-,+
63,False,"these cakes, Susan stole your jacket carefully",+,-
63,True,"meanwhile, Susan stole your jacket carefully",-,-
64,True,"these cakes, Susan stole without falling",+,+
64,False,"meanwhile, Susan stole without falling",-,+
64,False,"these cakes, Susan stole your jacket without falling",+,-
64,True,"meanwhile, Susan stole your jacket without falling",-,-
65,True,"these cakes, Susan stole quickly",+,+
65,False,"meanwhile, Susan stole quickly",-,+
65,False,"these cakes, Susan stole your jacket quickly",+,-
65,True,"meanwhile, Susan stole your jacket quickly",-,-
66,True,"these cakes, Susan stole carefully",+,+
66,False,"meanwhile, Susan stole carefully",-,+
66,False,"these cakes, Susan stole a phone carefully",+,-
66,True,"meanwhile, Susan stole a phone carefully",-,-
67,True,"these cakes, Susan stole without falling",+,+
67,False,"meanwhile, Susan stole without falling",-,+
67,False,"these cakes, Susan stole a phone without falling",+,-
67,True,"meanwhile, Susan stole a phone without falling",-,-
68,True,"these cakes, Susan stole quickly",+,+
68,False,"meanwhile, Susan stole quickly",-,+
68,False,"these cakes, Susan stole a phone quickly",+,-
68,True,"meanwhile, Susan stole a phone quickly",-,-
69,True,"these cakes, Susan stole carefully",+,+
69,False,"meanwhile, Susan stole carefully",-,+
69,False,"these cakes, Susan stole the paperwork carefully",+,-
69,True,"meanwhile, Susan stole the paperwork carefully",-,-
70,True,"these cakes, Susan stole without falling",+,+
70,False,"meanwhile, Susan stole without falling",-,+
70,False,"these cakes, Susan stole the paperwork without falling",+,-
70,True,"meanwhile, Susan stole the paperwork without falling",-,-
71,True,"these cakes, Susan stole quickly",+,+
71,False,"meanwhile, Susan stole quickly",-,+
71,False,"these cakes, Susan stole the paperwork quickly",+,-
71,True,"meanwhile, Susan stole the paperwork quickly",-,-
72,True,"these cakes, Susan threw carefully",+,+
72,False,"meanwhile, Susan threw carefully",-,+
72,False,"these cakes, Susan threw your jacket carefully",+,-
72,True,"meanwhile, Susan threw your jacket carefully",-,-
73,True,"these cakes, Susan threw without falling",+,+
73,False,"meanwhile, Susan threw without falling",-,+
73,False,"these cakes, Susan threw your jacket without falling",+,-
73,True,"meanwhile, Susan threw your jacket without falling",-,-
74,True,"these cakes, Susan threw quickly",+,+
74,False,"meanwhile, Susan threw quickly",-,+
74,False,"these cakes, Susan threw your jacket quickly",+,-
74,True,"meanwhile, Susan threw your jacket quickly",-,-
75,True,"these cakes, Susan threw carefully",+,+
75,False,"meanwhile, Susan threw carefully",-,+
75,False,"these cakes, Susan threw a phone carefully",+,-
75,True,"meanwhile, Susan threw a phone carefully",-,-
76,True,"these cakes, Susan threw without falling",+,+
76,False,"meanwhile, Susan threw without falling",-,+
76,False,"these cakes, Susan threw a phone without falling",+,-
76,True,"meanwhile, Susan threw a phone without falling",-,-
77,True,"these cakes, Susan threw quickly",+,+
77,False,"meanwhile, Susan threw quickly",-,+
77,False,"these cakes, Susan threw a phone quickly",+,-
77,True,"meanwhile, Susan threw a phone quickly",-,-
78,True,"these cakes, Susan threw carefully",+,+
78,False,"meanwhile, Susan threw carefully",-,+
78,False,"these cakes, Susan threw the paperwork carefully",+,-
78,True,"meanwhile, Susan threw the paperwork carefully",-,-
79,True,"these cakes, Susan threw without falling",+,+
79,False,"meanwhile, Susan threw without falling",-,+
79,False,"these cakes, Susan threw the paperwork without falling",+,-
79,True,"meanwhile, Susan threw the paperwork without falling",-,-
80,True,"these cakes, Susan threw quickly",+,+
80,False,"meanwhile, Susan threw quickly",-,+
80,False,"these cakes, Susan threw the paperwork quickly",+,-
80,True,"meanwhile, Susan threw the paperwork quickly",-,-
81,True,"these cakes, Michelle lifted carefully",+,+
81,False,"meanwhile, Michelle lifted carefully",-,+
81,False,"these cakes, Michelle lifted your jacket carefully",+,-
81,True,"meanwhile, Michelle lifted your jacket carefully",-,-
82,True,"these cakes, Michelle lifted without falling",+,+
82,False,"meanwhile, Michelle lifted without falling",-,+
82,False,"these cakes, Michelle lifted your jacket without falling",+,-
82,True,"meanwhile, Michelle lifted your jacket without falling",-,-
83,True,"these cakes, Michelle lifted quickly",+,+
83,False,"meanwhile, Michelle lifted quickly",-,+
83,False,"these cakes, Michelle lifted your jacket quickly",+,-
83,True,"meanwhile, Michelle lifted your jacket quickly",-,-
84,True,"these cakes, Michelle lifted carefully",+,+
84,False,"meanwhile, Michelle lifted carefully",-,+
84,False,"these cakes, Michelle lifted a phone carefully",+,-
84,True,"meanwhile, Michelle lifted a phone carefully",-,-
85,True,"these cakes, Michelle lifted without falling",+,+
85,False,"meanwhile, Michelle lifted without falling",-,+
85,False,"these cakes, Michelle lifted a phone without falling",+,-
85,True,"meanwhile, Michelle lifted a phone without falling",-,-
86,True,"these cakes, Michelle lifted quickly",+,+
86,False,"meanwhile, Michelle lifted quickly",-,+
86,False,"these cakes, Michelle lifted a phone quickly",+,-
86,True,"meanwhile, Michelle lifted a phone quickly",-,-
87,True,"these cakes, Michelle lifted carefully",+,+
87,False,"meanwhile, Michelle lifted carefully",-,+
87,False,"these cakes, Michelle lifted the paperwork carefully",+,-
87,True,"meanwhile, Michelle lifted the paperwork carefully",-,-
88,True,"these cakes, Michelle lifted without falling",+,+
88,False,"meanwhile, Michelle lifted without falling",-,+
88,False,"these cakes, Michelle lifted the paperwork without falling",+,-
88,True,"meanwhile, Michelle lifted the paperwork without falling",-,-
89,True,"these cakes, Michelle lifted quickly",+,+
89,False,"meanwhile, Michelle lifted quickly",-,+
89,False,"these cakes, Michelle lifted the paperwork quickly",+,-
89,True,"meanwhile, Michelle lifted the paperwork quickly",-,-
90,True,"these cakes, Michelle stole carefully",+,+
90,False,"meanwhile, Michelle stole carefully",-,+
90,False,"these cakes, Michelle stole your jacket carefully",+,-
90,True,"meanwhile, Michelle stole your jacket carefully",-,-
91,True,"these cakes, Michelle stole without falling",+,+
91,False,"meanwhile, Michelle stole without falling",-,+
91,False,"these cakes, Michelle stole your jacket without falling",+,-
91,True,"meanwhile, Michelle stole your jacket without falling",-,-
92,True,"these cakes, Michelle stole quickly",+,+
92,False,"meanwhile, Michelle stole quickly",-,+
92,False,"these cakes, Michelle stole your jacket quickly",+,-
92,True,"meanwhile, Michelle stole your jacket quickly",-,-
93,True,"these cakes, Michelle stole carefully",+,+
93,False,"meanwhile, Michelle stole carefully",-,+
93,False,"these cakes, Michelle stole a phone carefully",+,-
93,True,"meanwhile, Michelle stole a phone carefully",-,-
94,True,"these cakes, Michelle stole without falling",+,+
94,False,"meanwhile, Michelle stole without falling",-,+
94,False,"these cakes, Michelle stole a phone without falling",+,-
94,True,"meanwhile, Michelle stole a phone without falling",-,-
95,True,"these cakes, Michelle stole quickly",+,+
95,False,"meanwhile, Michelle stole quickly",-,+
95,False,"these cakes, Michelle stole a phone quickly",+,-
95,True,"meanwhile, Michelle stole a phone quickly",-,-
96,True,"these cakes, Michelle stole carefully",+,+
96,False,"meanwhile, Michelle stole carefully",-,+
96,False,"these cakes, Michelle stole the paperwork carefully",+,-
96,True,"meanwhile, Michelle stole the paperwork carefully",-,-
97,True,"these cakes, Michelle stole without falling",+,+
97,False,"meanwhile, Michelle stole without falling",-,+
97,False,"these cakes, Michelle stole the paperwork without falling",+,-
97,True,"meanwhile, Michelle stole the paperwork without falling",-,-
98,True,"these cakes, Michelle stole quickly",+,+
98,False,"meanwhile, Michelle stole quickly",-,+
98,False,"these cakes, Michelle stole the paperwork quickly",+,-
98,True,"meanwhile, Michelle stole the paperwork quickly",-,-
99,True,"these cakes, Michelle threw carefully",+,+
99,False,"meanwhile, Michelle threw carefully",-,+
99,False,"these cakes, Michelle threw your jacket carefully",+,-
99,True,"meanwhile, Michelle threw your jacket carefully",-,-
100,True,"these cakes, Michelle threw without falling",+,+
100,False,"meanwhile, Michelle threw without falling",-,+
100,False,"these cakes, Michelle threw your jacket without falling",+,-
100,True,"meanwhile, Michelle threw your jacket without falling",-,-
101,True,"these cakes, Michelle threw quickly",+,+
101,False,"meanwhile, Michelle threw quickly",-,+
101,False,"these cakes, Michelle threw your jacket quickly",+,-
101,True,"meanwhile, Michelle threw your jacket quickly",-,-
102,True,"these cakes, Michelle threw carefully",+,+
102,False,"meanwhile, Michelle threw carefully",-,+
102,False,"these cakes, Michelle threw a phone carefully",+,-
102,True,"meanwhile, Michelle threw a phone carefully",-,-
103,True,"these cakes, Michelle threw without falling",+,+
103,False,"meanwhile, Michelle threw without falling",-,+
103,False,"these cakes, Michelle threw a phone without falling",+,-
103,True,"meanwhile, Michelle threw a phone without falling",-,-
104,True,"these cakes, Michelle threw quickly",+,+
104,False,"meanwhile, Michelle threw quickly",-,+
104,False,"these cakes, Michelle threw a phone quickly",+,-
104,True,"meanwhile, Michelle threw a phone quickly",-,-
105,True,"these cakes, Michelle threw carefully",+,+
105,False,"meanwhile, Michelle threw carefully",-,+
105,False,"these cakes, Michelle threw the paperwork carefully",+,-
105,True,"meanwhile, Michelle threw the paperwork carefully",-,-
106,True,"these cakes, Michelle threw without falling",+,+
106,False,"meanwhile, Michelle threw without falling",-,+
106,False,"these cakes, Michelle threw the paperwork without falling",+,-
106,True,"meanwhile, Michelle threw the paperwork without falling",-,-
107,True,"these cakes, Michelle threw quickly",+,+
107,False,"meanwhile, Michelle threw quickly",-,+
107,False,"these cakes, Michelle threw the paperwork quickly",+,-
107,True,"meanwhile, Michelle threw the paperwork quickly",-,-
108,True,"these cakes, Susan lifted carefully",+,+
108,False,"still, Susan lifted carefully",-,+
108,False,"these cakes, Susan lifted your jacket carefully",+,-
108,True,"still, Susan lifted your jacket carefully",-,-
109,True,"these cakes, Susan lifted without falling",+,+
109,False,"still, Susan lifted without falling",-,+
109,False,"these cakes, Susan lifted your jacket without falling",+,-
109,True,"still, Susan lifted your jacket without falling",-,-
110,True,"these cakes, Susan lifted quickly",+,+
110,False,"still, Susan lifted quickly",-,+
110,False,"these cakes, Susan lifted your jacket quickly",+,-
110,True,"still, Susan lifted your jacket quickly",-,-
111,True,"these cakes, Susan lifted carefully",+,+
111,False,"still, Susan lifted carefully",-,+
111,False,"these cakes, Susan lifted a phone carefully",+,-
111,True,"still, Susan lifted a phone carefully",-,-
112,True,"these cakes, Susan lifted without falling",+,+
112,False,"still, Susan lifted without falling",-,+
112,False,"these cakes, Susan lifted a phone without falling",+,-
112,True,"still, Susan lifted a phone without falling",-,-
113,True,"these cakes, Susan lifted quickly",+,+
113,False,"still, Susan lifted quickly",-,+
113,False,"these cakes, Susan lifted a phone quickly",+,-
113,True,"still, Susan lifted a phone quickly",-,-
114,True,"these cakes, Susan lifted carefully",+,+
114,False,"still, Susan lifted carefully",-,+
114,False,"these cakes, Susan lifted the paperwork carefully",+,-
114,True,"still, Susan lifted the paperwork carefully",-,-
115,True,"these cakes, Susan lifted without falling",+,+
115,False,"still, Susan lifted without falling",-,+
115,False,"these cakes, Susan lifted the paperwork without falling",+,-
115,True,"still, Susan lifted the paperwork without falling",-,-
116,True,"these cakes, Susan lifted quickly",+,+
116,False,"still, Susan lifted quickly",-,+
116,False,"these cakes, Susan lifted the paperwork quickly",+,-
116,True,"still, Susan lifted the paperwork quickly",-,-
117,True,"these cakes, Susan stole carefully",+,+
117,False,"still, Susan stole carefully",-,+
117,False,"these cakes, Susan stole your jacket carefully",+,-
117,True,"still, Susan stole your jacket carefully",-,-
118,True,"these cakes, Susan stole without falling",+,+
118,False,"still, Susan stole without falling",-,+
118,False,"these cakes, Susan stole your jacket without falling",+,-
118,True,"still, Susan stole your jacket without falling",-,-
119,True,"these cakes, Susan stole quickly",+,+
119,False,"still, Susan stole quickly",-,+
119,False,"these cakes, Susan stole your jacket quickly",+,-
119,True,"still, Susan stole your jacket quickly",-,-
120,True,"these cakes, Susan stole carefully",+,+
120,False,"still, Susan stole carefully",-,+
120,False,"these cakes, Susan stole a phone carefully",+,-
120,True,"still, Susan stole a phone carefully",-,-
121,True,"these cakes, Susan stole without falling",+,+
121,False,"still, Susan stole without falling",-,+
121,False,"these cakes, Susan stole a phone without falling",+,-
121,True,"still, Susan stole a phone without falling",-,-
122,True,"these cakes, Susan stole quickly",+,+
122,False,"still, Susan stole quickly",-,+
122,False,"these cakes, Susan stole a phone quickly",+,-
122,True,"still, Susan stole a phone quickly",-,-
123,True,"these cakes, Susan stole carefully",+,+
123,False,"still, Susan stole carefully",-,+
123,False,"these cakes, Susan stole the paperwork carefully",+,-
123,True,"still, Susan stole the paperwork carefully",-,-
124,True,"these cakes, Susan stole without falling",+,+
124,False,"still, Susan stole without falling",-,+
124,False,"these cakes, Susan stole the paperwork without falling",+,-
124,True,"still, Susan stole the paperwork without falling",-,-
125,True,"these cakes, Susan stole quickly",+,+
125,False,"still, Susan stole quickly",-,+
125,False,"these cakes, Susan stole the paperwork quickly",+,-
125,True,"still, Susan stole the paperwork quickly",-,-
126,True,"these cakes, Susan threw carefully",+,+
126,False,"still, Susan threw carefully",-,+
126,False,"these cakes, Susan threw your jacket carefully",+,-
126,True,"still, Susan threw your jacket carefully",-,-
127,True,"these cakes, Susan threw without falling",+,+
127,False,"still, Susan threw without falling",-,+
127,False,"these cakes, Susan threw your jacket without falling",+,-
127,True,"still, Susan threw your jacket without falling",-,-
128,True,"these cakes, Susan threw quickly",+,+
128,False,"still, Susan threw quickly",-,+
128,False,"these cakes, Susan threw your jacket quickly",+,-
128,True,"still, Susan threw your jacket quickly",-,-
129,True,"these cakes, Susan threw carefully",+,+
129,False,"still, Susan threw carefully",-,+
129,False,"these cakes, Susan threw a phone carefully",+,-
129,True,"still, Susan threw a phone carefully",-,-
130,True,"these cakes, Susan threw without falling",+,+
130,False,"still, Susan threw without falling",-,+
130,False,"these cakes, Susan threw a phone without falling",+,-
130,True,"still, Susan threw a phone without falling",-,-
131,True,"these cakes, Susan threw quickly",+,+
131,False,"still, Susan threw quickly",-,+
131,False,"these cakes, Susan threw a phone quickly",+,-
131,True,"still, Susan threw a phone quickly",-,-
132,True,"these cakes, Susan threw carefully",+,+
132,False,"still, Susan threw carefully",-,+
132,False,"these cakes, Susan threw the paperwork carefully",+,-
132,True,"still, Susan threw the paperwork carefully",-,-
133,True,"these cakes, Susan threw without falling",+,+
133,False,"still, Susan threw without falling",-,+
133,False,"these cakes, Susan threw the paperwork without falling",+,-
133,True,"still, Susan threw the paperwork without falling",-,-
134,True,"these cakes, Susan threw quickly",+,+
134,False,"still, Susan threw quickly",-,+
134,False,"these cakes, Susan threw the paperwork quickly",+,-
134,True,"still, Susan threw the paperwork quickly",-,-
135,True,"these cakes, Michelle lifted carefully",+,+
135,False,"still, Michelle lifted carefully",-,+
135,False,"these cakes, Michelle lifted your jacket carefully",+,-
135,True,"still, Michelle lifted your jacket carefully",-,-
136,True,"these cakes, Michelle lifted without falling",+,+
136,False,"still, Michelle lifted without falling",-,+
136,False,"these cakes, Michelle lifted your jacket without falling",+,-
136,True,"still, Michelle lifted your jacket without falling",-,-
