Type,Sentence,Grammatical,Set,Critical String,Region Start,Region End
<S_FG>,I know what the attempt to repair eventually damaged nonetheless,True,No Set,nonetheless,53,64
<S_FG>,I know what the attempt to fix eventually damaged nonetheless,True,No Set,nonetheless,50,61
<S_FG>,I know what the attempt to overhaul eventually damaged nonetheless,True,No Set,nonetheless,55,66
<S_FG>,I know what the attempt to rebuild eventually damaged nonetheless,True,No Set,nonetheless,54,65
<S_FG>,I know what the attempt to repair finally damaged nonetheless,True,No Set,nonetheless,50,61
<S_FG>,I know what the attempt to fix finally damaged nonetheless,True,No Set,nonetheless,47,58
<S_FG>,I know what the attempt to overhaul finally damaged nonetheless,True,No Set,nonetheless,52,63
<S_FG>,I know what the attempt to rebuild finally damaged nonetheless,True,Training,nonetheless,51,62
<S_FG>,I know what the attempt to repair eventually destroyed nonetheless,True,No Set,nonetheless,55,66
<S_FG>,I know what the attempt to fix eventually destroyed nonetheless,True,No Set,nonetheless,52,63
<S_FG>,I know what the attempt to overhaul eventually destroyed nonetheless,True,No Set,nonetheless,57,68
<S_FG>,I know what the attempt to rebuild eventually destroyed nonetheless,True,No Set,nonetheless,56,67
<S_FG>,I know what the attempt to repair finally destroyed nonetheless,True,No Set,nonetheless,52,63
<S_FG>,I know what the attempt to fix finally destroyed nonetheless,True,No Set,nonetheless,49,60
<S_FG>,I know what the attempt to overhaul finally destroyed nonetheless,True,No Set,nonetheless,54,65
<S_FG>,I know what the attempt to rebuild finally destroyed nonetheless,True,Training,nonetheless,53,64
<S_FG>,I know what the attempt to repair eventually ruined nonetheless,True,No Set,nonetheless,52,63
<S_FG>,I know what the attempt to fix eventually ruined nonetheless,True,No Set,nonetheless,49,60
<S_FG>,I know what the attempt to overhaul eventually ruined nonetheless,True,No Set,nonetheless,54,65
<S_FG>,I know what the attempt to rebuild eventually ruined nonetheless,True,No Set,nonetheless,53,64
<S_FG>,I know what the attempt to repair finally ruined nonetheless,True,No Set,nonetheless,49,60
<S_FG>,I know what the attempt to fix finally ruined nonetheless,True,No Set,nonetheless,46,57
<S_FG>,I know what the attempt to overhaul finally ruined nonetheless,True,No Set,nonetheless,51,62
<S_FG>,I know what the attempt to rebuild finally ruined nonetheless,True,Training,nonetheless,50,61
<S_FG>,I know what the attempt to repair eventually wrecked nonetheless,True,No Set,nonetheless,53,64
<S_FG>,I know what the attempt to fix eventually wrecked nonetheless,True,No Set,nonetheless,50,61
<S_FG>,I know what the attempt to overhaul eventually wrecked nonetheless,True,No Set,nonetheless,55,66
<S_FG>,I know what the attempt to rebuild eventually wrecked nonetheless,True,Training,nonetheless,54,65
<S_FG>,I know what the attempt to repair finally wrecked nonetheless,True,Training,nonetheless,50,61
<S_FG>,I know what the attempt to fix finally wrecked nonetheless,True,Training,nonetheless,47,58
<S_FG>,I know what the attempt to overhaul finally wrecked nonetheless,True,Training,nonetheless,52,63
<S_FG>,I know what the attempt to rebuild finally wrecked nonetheless,True,Training,nonetheless,51,62
<S_XG>,I know that the attempt to repair the car eventually damaged nevertheless,False,Test,nevertheless,61,73
<S_XG>,I know that the attempt to fix the car eventually damaged nevertheless,False,Test,nevertheless,58,70
<S_XG>,I know that the attempt to overhaul the car eventually damaged nevertheless,False,Test,nevertheless,63,75
<S_XG>,I know that the attempt to rebuild the car eventually damaged nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to repair the bike eventually damaged nevertheless,False,Test,nevertheless,62,74
<S_XG>,I know that the attempt to fix the bike eventually damaged nevertheless,False,Test,nevertheless,59,71
<S_XG>,I know that the attempt to overhaul the bike eventually damaged nevertheless,False,Test,nevertheless,64,76
<S_XG>,I know that the attempt to rebuild the bike eventually damaged nevertheless,False,No Set,nevertheless,63,75
<S_XG>,I know that the attempt to repair the washing machine eventually damaged nevertheless,False,Test,nevertheless,73,85
<S_XG>,I know that the attempt to fix the washing machine eventually damaged nevertheless,False,Test,nevertheless,70,82
<S_XG>,I know that the attempt to overhaul the washing machine eventually damaged nevertheless,False,Test,nevertheless,75,87
<S_XG>,I know that the attempt to rebuild the washing machine eventually damaged nevertheless,False,No Set,nevertheless,74,86
<S_XG>,I know that the attempt to repair the drier eventually damaged nevertheless,False,Test,nevertheless,63,75
<S_XG>,I know that the attempt to fix the drier eventually damaged nevertheless,False,Test,nevertheless,60,72
<S_XG>,I know that the attempt to overhaul the drier eventually damaged nevertheless,False,Test,nevertheless,65,77
<S_XG>,I know that the attempt to rebuild the drier eventually damaged nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to repair the ceiling eventually damaged nevertheless,False,No Set,nevertheless,65,77
<S_XG>,I know that the attempt to fix the ceiling eventually damaged nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to overhaul the ceiling eventually damaged nevertheless,False,No Set,nevertheless,67,79
<S_XG>,I know that the attempt to rebuild the ceiling eventually damaged nevertheless,False,No Set,nevertheless,66,78
<S_XG>,I know that the attempt to repair the apartment eventually damaged nevertheless,False,No Set,nevertheless,67,79
<S_XG>,I know that the attempt to fix the apartment eventually damaged nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to overhaul the apartment eventually damaged nevertheless,False,No Set,nevertheless,69,81
<S_XG>,I know that the attempt to rebuild the apartment eventually damaged nevertheless,False,No Set,nevertheless,68,80
<S_XG>,I know that the attempt to repair the car finally damaged nevertheless,False,No Set,nevertheless,58,70
<S_XG>,I know that the attempt to fix the car finally damaged nevertheless,False,No Set,nevertheless,55,67
<S_XG>,I know that the attempt to overhaul the car finally damaged nevertheless,False,No Set,nevertheless,60,72
<S_XG>,I know that the attempt to rebuild the car finally damaged nevertheless,False,No Set,nevertheless,59,71
<S_XG>,I know that the attempt to repair the bike finally damaged nevertheless,False,No Set,nevertheless,59,71
<S_XG>,I know that the attempt to fix the bike finally damaged nevertheless,False,No Set,nevertheless,56,68
<S_XG>,I know that the attempt to overhaul the bike finally damaged nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to rebuild the bike finally damaged nevertheless,False,No Set,nevertheless,60,72
<S_XG>,I know that the attempt to repair the washing machine finally damaged nevertheless,False,No Set,nevertheless,70,82
<S_XG>,I know that the attempt to fix the washing machine finally damaged nevertheless,False,No Set,nevertheless,67,79
<S_XG>,I know that the attempt to overhaul the washing machine finally damaged nevertheless,False,No Set,nevertheless,72,84
<S_XG>,I know that the attempt to rebuild the washing machine finally damaged nevertheless,False,No Set,nevertheless,71,83
<S_XG>,I know that the attempt to repair the drier finally damaged nevertheless,False,No Set,nevertheless,60,72
<S_XG>,I know that the attempt to fix the drier finally damaged nevertheless,False,No Set,nevertheless,57,69
<S_XG>,I know that the attempt to overhaul the drier finally damaged nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to rebuild the drier finally damaged nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to repair the ceiling finally damaged nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to fix the ceiling finally damaged nevertheless,False,No Set,nevertheless,59,71
<S_XG>,I know that the attempt to overhaul the ceiling finally damaged nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to rebuild the ceiling finally damaged nevertheless,False,No Set,nevertheless,63,75
<S_XG>,I know that the attempt to repair the apartment finally damaged nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to fix the apartment finally damaged nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to overhaul the apartment finally damaged nevertheless,False,No Set,nevertheless,66,78
<S_XG>,I know that the attempt to rebuild the apartment finally damaged nevertheless,False,No Set,nevertheless,65,77
<S_XG>,I know that the attempt to repair the car eventually destroyed nevertheless,False,Test,nevertheless,63,75
<S_XG>,I know that the attempt to fix the car eventually destroyed nevertheless,False,Test,nevertheless,60,72
<S_XG>,I know that the attempt to overhaul the car eventually destroyed nevertheless,False,Test,nevertheless,65,77
<S_XG>,I know that the attempt to rebuild the car eventually destroyed nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to repair the bike eventually destroyed nevertheless,False,Test,nevertheless,64,76
<S_XG>,I know that the attempt to fix the bike eventually destroyed nevertheless,False,Test,nevertheless,61,73
<S_XG>,I know that the attempt to overhaul the bike eventually destroyed nevertheless,False,Test,nevertheless,66,78
<S_XG>,I know that the attempt to rebuild the bike eventually destroyed nevertheless,False,No Set,nevertheless,65,77
<S_XG>,I know that the attempt to repair the washing machine eventually destroyed nevertheless,False,Test,nevertheless,75,87
<S_XG>,I know that the attempt to fix the washing machine eventually destroyed nevertheless,False,Test,nevertheless,72,84
<S_XG>,I know that the attempt to overhaul the washing machine eventually destroyed nevertheless,False,Test,nevertheless,77,89
<S_XG>,I know that the attempt to rebuild the washing machine eventually destroyed nevertheless,False,No Set,nevertheless,76,88
<S_XG>,I know that the attempt to repair the drier eventually destroyed nevertheless,False,Test,nevertheless,65,77
<S_XG>,I know that the attempt to fix the drier eventually destroyed nevertheless,False,Test,nevertheless,62,74
<S_XG>,I know that the attempt to overhaul the drier eventually destroyed nevertheless,False,Test,nevertheless,67,79
<S_XG>,I know that the attempt to rebuild the drier eventually destroyed nevertheless,False,No Set,nevertheless,66,78
<S_XG>,I know that the attempt to repair the ceiling eventually destroyed nevertheless,False,No Set,nevertheless,67,79
<S_XG>,I know that the attempt to fix the ceiling eventually destroyed nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to overhaul the ceiling eventually destroyed nevertheless,False,No Set,nevertheless,69,81
<S_XG>,I know that the attempt to rebuild the ceiling eventually destroyed nevertheless,False,No Set,nevertheless,68,80
<S_XG>,I know that the attempt to repair the apartment eventually destroyed nevertheless,False,No Set,nevertheless,69,81
<S_XG>,I know that the attempt to fix the apartment eventually destroyed nevertheless,False,No Set,nevertheless,66,78
<S_XG>,I know that the attempt to overhaul the apartment eventually destroyed nevertheless,False,No Set,nevertheless,71,83
<S_XG>,I know that the attempt to rebuild the apartment eventually destroyed nevertheless,False,No Set,nevertheless,70,82
<S_XG>,I know that the attempt to repair the car finally destroyed nevertheless,False,No Set,nevertheless,60,72
<S_XG>,I know that the attempt to fix the car finally destroyed nevertheless,False,No Set,nevertheless,57,69
<S_XG>,I know that the attempt to overhaul the car finally destroyed nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to rebuild the car finally destroyed nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to repair the bike finally destroyed nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to fix the bike finally destroyed nevertheless,False,No Set,nevertheless,58,70
<S_XG>,I know that the attempt to overhaul the bike finally destroyed nevertheless,False,No Set,nevertheless,63,75
<S_XG>,I know that the attempt to rebuild the bike finally destroyed nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to repair the washing machine finally destroyed nevertheless,False,No Set,nevertheless,72,84
<S_XG>,I know that the attempt to fix the washing machine finally destroyed nevertheless,False,No Set,nevertheless,69,81
<S_XG>,I know that the attempt to overhaul the washing machine finally destroyed nevertheless,False,No Set,nevertheless,74,86
<S_XG>,I know that the attempt to rebuild the washing machine finally destroyed nevertheless,False,No Set,nevertheless,73,85
<S_XG>,I know that the attempt to repair the drier finally destroyed nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to fix the drier finally destroyed nevertheless,False,No Set,nevertheless,59,71
<S_XG>,I know that the attempt to overhaul the drier finally destroyed nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to rebuild the drier finally destroyed nevertheless,False,No Set,nevertheless,63,75
<S_XG>,I know that the attempt to repair the ceiling finally destroyed nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to fix the ceiling finally destroyed nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to overhaul the ceiling finally destroyed nevertheless,False,No Set,nevertheless,66,78
<S_XG>,I know that the attempt to rebuild the ceiling finally destroyed nevertheless,False,No Set,nevertheless,65,77
<S_XG>,I know that the attempt to repair the apartment finally destroyed nevertheless,False,No Set,nevertheless,66,78
<S_XG>,I know that the attempt to fix the apartment finally destroyed nevertheless,False,No Set,nevertheless,63,75
<S_XG>,I know that the attempt to overhaul the apartment finally destroyed nevertheless,False,No Set,nevertheless,68,80
<S_XG>,I know that the attempt to rebuild the apartment finally destroyed nevertheless,False,No Set,nevertheless,67,79
<S_XG>,I know that the attempt to repair the car eventually ruined nevertheless,False,Test,nevertheless,60,72
<S_XG>,I know that the attempt to fix the car eventually ruined nevertheless,False,Test,nevertheless,57,69
<S_XG>,I know that the attempt to overhaul the car eventually ruined nevertheless,False,Test,nevertheless,62,74
<S_XG>,I know that the attempt to rebuild the car eventually ruined nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to repair the bike eventually ruined nevertheless,False,Test,nevertheless,61,73
<S_XG>,I know that the attempt to fix the bike eventually ruined nevertheless,False,Test,nevertheless,58,70
<S_XG>,I know that the attempt to overhaul the bike eventually ruined nevertheless,False,Test,nevertheless,63,75
<S_XG>,I know that the attempt to rebuild the bike eventually ruined nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to repair the washing machine eventually ruined nevertheless,False,Test,nevertheless,72,84
<S_XG>,I know that the attempt to fix the washing machine eventually ruined nevertheless,False,Test,nevertheless,69,81
<S_XG>,I know that the attempt to overhaul the washing machine eventually ruined nevertheless,False,Test,nevertheless,74,86
<S_XG>,I know that the attempt to rebuild the washing machine eventually ruined nevertheless,False,No Set,nevertheless,73,85
<S_XG>,I know that the attempt to repair the drier eventually ruined nevertheless,False,Test,nevertheless,62,74
<S_XG>,I know that the attempt to fix the drier eventually ruined nevertheless,False,Test,nevertheless,59,71
<S_XG>,I know that the attempt to overhaul the drier eventually ruined nevertheless,False,Test,nevertheless,64,76
<S_XG>,I know that the attempt to rebuild the drier eventually ruined nevertheless,False,No Set,nevertheless,63,75
<S_XG>,I know that the attempt to repair the ceiling eventually ruined nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to fix the ceiling eventually ruined nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to overhaul the ceiling eventually ruined nevertheless,False,No Set,nevertheless,66,78
<S_XG>,I know that the attempt to rebuild the ceiling eventually ruined nevertheless,False,No Set,nevertheless,65,77
<S_XG>,I know that the attempt to repair the apartment eventually ruined nevertheless,False,No Set,nevertheless,66,78
<S_XG>,I know that the attempt to fix the apartment eventually ruined nevertheless,False,No Set,nevertheless,63,75
<S_XG>,I know that the attempt to overhaul the apartment eventually ruined nevertheless,False,No Set,nevertheless,68,80
<S_XG>,I know that the attempt to rebuild the apartment eventually ruined nevertheless,False,No Set,nevertheless,67,79
<S_XG>,I know that the attempt to repair the car finally ruined nevertheless,False,No Set,nevertheless,57,69
<S_XG>,I know that the attempt to fix the car finally ruined nevertheless,False,No Set,nevertheless,54,66
<S_XG>,I know that the attempt to overhaul the car finally ruined nevertheless,False,No Set,nevertheless,59,71
<S_XG>,I know that the attempt to rebuild the car finally ruined nevertheless,False,No Set,nevertheless,58,70
<S_XG>,I know that the attempt to repair the bike finally ruined nevertheless,False,No Set,nevertheless,58,70
<S_XG>,I know that the attempt to fix the bike finally ruined nevertheless,False,No Set,nevertheless,55,67
<S_XG>,I know that the attempt to overhaul the bike finally ruined nevertheless,False,No Set,nevertheless,60,72
<S_XG>,I know that the attempt to rebuild the bike finally ruined nevertheless,False,No Set,nevertheless,59,71
<S_XG>,I know that the attempt to repair the washing machine finally ruined nevertheless,False,No Set,nevertheless,69,81
<S_XG>,I know that the attempt to fix the washing machine finally ruined nevertheless,False,No Set,nevertheless,66,78
<S_XG>,I know that the attempt to overhaul the washing machine finally ruined nevertheless,False,No Set,nevertheless,71,83
<S_XG>,I know that the attempt to rebuild the washing machine finally ruined nevertheless,False,No Set,nevertheless,70,82
<S_XG>,I know that the attempt to repair the drier finally ruined nevertheless,False,No Set,nevertheless,59,71
<S_XG>,I know that the attempt to fix the drier finally ruined nevertheless,False,No Set,nevertheless,56,68
<S_XG>,I know that the attempt to overhaul the drier finally ruined nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to rebuild the drier finally ruined nevertheless,False,No Set,nevertheless,60,72
<S_XG>,I know that the attempt to repair the ceiling finally ruined nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to fix the ceiling finally ruined nevertheless,False,No Set,nevertheless,58,70
<S_XG>,I know that the attempt to overhaul the ceiling finally ruined nevertheless,False,No Set,nevertheless,63,75
<S_XG>,I know that the attempt to rebuild the ceiling finally ruined nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to repair the apartment finally ruined nevertheless,False,No Set,nevertheless,63,75
<S_XG>,I know that the attempt to fix the apartment finally ruined nevertheless,False,No Set,nevertheless,60,72
<S_XG>,I know that the attempt to overhaul the apartment finally ruined nevertheless,False,No Set,nevertheless,65,77
<S_XG>,I know that the attempt to rebuild the apartment finally ruined nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to repair the car eventually wrecked nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to fix the car eventually wrecked nevertheless,False,No Set,nevertheless,58,70
<S_XG>,I know that the attempt to overhaul the car eventually wrecked nevertheless,False,No Set,nevertheless,63,75
<S_XG>,I know that the attempt to rebuild the car eventually wrecked nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to repair the bike eventually wrecked nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to fix the bike eventually wrecked nevertheless,False,No Set,nevertheless,59,71
<S_XG>,I know that the attempt to overhaul the bike eventually wrecked nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to rebuild the bike eventually wrecked nevertheless,False,No Set,nevertheless,63,75
<S_XG>,I know that the attempt to repair the washing machine eventually wrecked nevertheless,False,No Set,nevertheless,73,85
<S_XG>,I know that the attempt to fix the washing machine eventually wrecked nevertheless,False,No Set,nevertheless,70,82
<S_XG>,I know that the attempt to overhaul the washing machine eventually wrecked nevertheless,False,No Set,nevertheless,75,87
<S_XG>,I know that the attempt to rebuild the washing machine eventually wrecked nevertheless,False,No Set,nevertheless,74,86
<S_XG>,I know that the attempt to repair the drier eventually wrecked nevertheless,False,No Set,nevertheless,63,75
<S_XG>,I know that the attempt to fix the drier eventually wrecked nevertheless,False,No Set,nevertheless,60,72
<S_XG>,I know that the attempt to overhaul the drier eventually wrecked nevertheless,False,No Set,nevertheless,65,77
<S_XG>,I know that the attempt to rebuild the drier eventually wrecked nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to repair the ceiling eventually wrecked nevertheless,False,No Set,nevertheless,65,77
<S_XG>,I know that the attempt to fix the ceiling eventually wrecked nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to overhaul the ceiling eventually wrecked nevertheless,False,No Set,nevertheless,67,79
<S_XG>,I know that the attempt to rebuild the ceiling eventually wrecked nevertheless,False,No Set,nevertheless,66,78
<S_XG>,I know that the attempt to repair the apartment eventually wrecked nevertheless,False,No Set,nevertheless,67,79
<S_XG>,I know that the attempt to fix the apartment eventually wrecked nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to overhaul the apartment eventually wrecked nevertheless,False,No Set,nevertheless,69,81
<S_XG>,I know that the attempt to rebuild the apartment eventually wrecked nevertheless,False,No Set,nevertheless,68,80
<S_XG>,I know that the attempt to repair the car finally wrecked nevertheless,False,No Set,nevertheless,58,70
<S_XG>,I know that the attempt to fix the car finally wrecked nevertheless,False,No Set,nevertheless,55,67
<S_XG>,I know that the attempt to overhaul the car finally wrecked nevertheless,False,No Set,nevertheless,60,72
<S_XG>,I know that the attempt to rebuild the car finally wrecked nevertheless,False,No Set,nevertheless,59,71
<S_XG>,I know that the attempt to repair the bike finally wrecked nevertheless,False,No Set,nevertheless,59,71
<S_XG>,I know that the attempt to fix the bike finally wrecked nevertheless,False,No Set,nevertheless,56,68
<S_XG>,I know that the attempt to overhaul the bike finally wrecked nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to rebuild the bike finally wrecked nevertheless,False,No Set,nevertheless,60,72
<S_XG>,I know that the attempt to repair the washing machine finally wrecked nevertheless,False,No Set,nevertheless,70,82
<S_XG>,I know that the attempt to fix the washing machine finally wrecked nevertheless,False,No Set,nevertheless,67,79
<S_XG>,I know that the attempt to overhaul the washing machine finally wrecked nevertheless,False,No Set,nevertheless,72,84
<S_XG>,I know that the attempt to rebuild the washing machine finally wrecked nevertheless,False,No Set,nevertheless,71,83
<S_XG>,I know that the attempt to repair the drier finally wrecked nevertheless,False,No Set,nevertheless,60,72
<S_XG>,I know that the attempt to fix the drier finally wrecked nevertheless,False,No Set,nevertheless,57,69
<S_XG>,I know that the attempt to overhaul the drier finally wrecked nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to rebuild the drier finally wrecked nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to repair the ceiling finally wrecked nevertheless,False,No Set,nevertheless,62,74
<S_XG>,I know that the attempt to fix the ceiling finally wrecked nevertheless,False,No Set,nevertheless,59,71
<S_XG>,I know that the attempt to overhaul the ceiling finally wrecked nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to rebuild the ceiling finally wrecked nevertheless,False,Training,nevertheless,63,75
<S_XG>,I know that the attempt to repair the apartment finally wrecked nevertheless,False,No Set,nevertheless,64,76
<S_XG>,I know that the attempt to fix the apartment finally wrecked nevertheless,False,No Set,nevertheless,61,73
<S_XG>,I know that the attempt to overhaul the apartment finally wrecked nevertheless,False,No Set,nevertheless,66,78
<S_XG>,I know that the attempt to rebuild the apartment finally wrecked nevertheless,False,Training,nevertheless,65,77
<S_XG>,I know that the attempt to repair the car eventually damaged nonetheless,False,No Set,nonetheless,61,72
<S_XG>,I know that the attempt to fix the car eventually damaged nonetheless,False,No Set,nonetheless,58,69
<S_XG>,I know that the attempt to overhaul the car eventually damaged nonetheless,False,No Set,nonetheless,63,74
<S_XG>,I know that the attempt to rebuild the car eventually damaged nonetheless,False,No Set,nonetheless,62,73
<S_XG>,I know that the attempt to repair the bike eventually damaged nonetheless,False,No Set,nonetheless,62,73
<S_XG>,I know that the attempt to fix the bike eventually damaged nonetheless,False,No Set,nonetheless,59,70
<S_XG>,I know that the attempt to overhaul the bike eventually damaged nonetheless,False,No Set,nonetheless,64,75
<S_XG>,I know that the attempt to rebuild the bike eventually damaged nonetheless,False,No Set,nonetheless,63,74
<S_XG>,I know that the attempt to repair the washing machine eventually damaged nonetheless,False,No Set,nonetheless,73,84
<S_XG>,I know that the attempt to fix the washing machine eventually damaged nonetheless,False,No Set,nonetheless,70,81
<S_XG>,I know that the attempt to overhaul the washing machine eventually damaged nonetheless,False,No Set,nonetheless,75,86
<S_XG>,I know that the attempt to rebuild the washing machine eventually damaged nonetheless,False,No Set,nonetheless,74,85
<S_XG>,I know that the attempt to repair the drier eventually damaged nonetheless,False,No Set,nonetheless,63,74
<S_XG>,I know that the attempt to fix the drier eventually damaged nonetheless,False,No Set,nonetheless,60,71
<S_XG>,I know that the attempt to overhaul the drier eventually damaged nonetheless,False,No Set,nonetheless,65,76
<S_XG>,I know that the attempt to rebuild the drier eventually damaged nonetheless,False,No Set,nonetheless,64,75
<S_XG>,I know that the attempt to repair the ceiling eventually damaged nonetheless,False,No Set,nonetheless,65,76
<S_XG>,I know that the attempt to fix the ceiling eventually damaged nonetheless,False,No Set,nonetheless,62,73
<S_XG>,I know that the attempt to overhaul the ceiling eventually damaged nonetheless,False,No Set,nonetheless,67,78
<S_XG>,I know that the attempt to rebuild the ceiling eventually damaged nonetheless,False,No Set,nonetheless,66,77
<S_XG>,I know that the attempt to repair the apartment eventually damaged nonetheless,False,No Set,nonetheless,67,78
<S_XG>,I know that the attempt to fix the apartment eventually damaged nonetheless,False,No Set,nonetheless,64,75
<S_XG>,I know that the attempt to overhaul the apartment eventually damaged nonetheless,False,No Set,nonetheless,69,80
<S_XG>,I know that the attempt to rebuild the apartment eventually damaged nonetheless,False,No Set,nonetheless,68,79
<S_XG>,I know that the attempt to repair the car finally damaged nonetheless,False,No Set,nonetheless,58,69
<S_XG>,I know that the attempt to fix the car finally damaged nonetheless,False,No Set,nonetheless,55,66
<S_XG>,I know that the attempt to overhaul the car finally damaged nonetheless,False,No Set,nonetheless,60,71
<S_XG>,I know that the attempt to rebuild the car finally damaged nonetheless,False,No Set,nonetheless,59,70
<S_XG>,I know that the attempt to repair the bike finally damaged nonetheless,False,No Set,nonetheless,59,70
<S_XG>,I know that the attempt to fix the bike finally damaged nonetheless,False,No Set,nonetheless,56,67
