group,grammatical,sentence,a condition,b condition
16,True,It is these pizzas that Susan stole without falling,+cleft,+gap
16,False,It is obvious that Susan stole without falling,-cleft,+gap
16,False,It is these pizzas that Susan stole the paperwork without falling,+cleft,-gap
16,True,It is obvious that Susan stole the paperwork without falling,-cleft,-gap
17,True,It is these pizzas that Susan stole quickly,+cleft,+gap
17,False,It is obvious that Susan stole quickly,-cleft,+gap
17,False,It is these pizzas that Susan stole the paperwork quickly,+cleft,-gap
17,True,It is obvious that Susan stole the paperwork quickly,-cleft,-gap
18,True,It is these pizzas that Susan threw carefully,+cleft,+gap
18,False,It is obvious that Susan threw carefully,-cleft,+gap
18,False,It is these pizzas that Susan threw your jacket carefully,+cleft,-gap
18,True,It is obvious that Susan threw your jacket carefully,-cleft,-gap
19,True,It is these pizzas that Susan threw without falling,+cleft,+gap
19,False,It is obvious that Susan threw without falling,-cleft,+gap
19,False,It is these pizzas that Susan threw your jacket without falling,+cleft,-gap
19,True,It is obvious that Susan threw your jacket without falling,-cleft,-gap
20,True,It is these pizzas that Susan threw quickly,+cleft,+gap
20,False,It is obvious that Susan threw quickly,-cleft,+gap
20,False,It is these pizzas that Susan threw your jacket quickly,+cleft,-gap
20,True,It is obvious that Susan threw your jacket quickly,-cleft,-gap
21,True,It is these pizzas that Susan threw carefully,+cleft,+gap
21,False,It is obvious that Susan threw carefully,-cleft,+gap
21,False,It is these pizzas that Susan threw a phone carefully,+cleft,-gap
21,True,It is obvious that Susan threw a phone carefully,-cleft,-gap
22,True,It is these pizzas that Susan threw without falling,+cleft,+gap
22,False,It is obvious that Susan threw without falling,-cleft,+gap
22,False,It is these pizzas that Susan threw a phone without falling,+cleft,-gap
22,True,It is obvious that Susan threw a phone without falling,-cleft,-gap
23,True,It is these pizzas that Susan threw quickly,+cleft,+gap
23,False,It is obvious that Susan threw quickly,-cleft,+gap
23,False,It is these pizzas that Susan threw a phone quickly,+cleft,-gap
23,True,It is obvious that Susan threw a phone quickly,-cleft,-gap
24,True,It is these pizzas that Susan threw carefully,+cleft,+gap
24,False,It is obvious that Susan threw carefully,-cleft,+gap
24,False,It is these pizzas that Susan threw the paperwork carefully,+cleft,-gap
24,True,It is obvious that Susan threw the paperwork carefully,-cleft,-gap
25,True,It is these pizzas that Susan threw without falling,+cleft,+gap
25,False,It is obvious that Susan threw without falling,-cleft,+gap
25,False,It is these pizzas that Susan threw the paperwork without falling,+cleft,-gap
25,True,It is obvious that Susan threw the paperwork without falling,-cleft,-gap
26,True,It is these pizzas that Susan threw quickly,+cleft,+gap
26,False,It is obvious that Susan threw quickly,-cleft,+gap
26,False,It is these pizzas that Susan threw the paperwork quickly,+cleft,-gap
26,True,It is obvious that Susan threw the paperwork quickly,-cleft,-gap
27,True,It is these pizzas that Michelle lifted carefully,+cleft,+gap
27,False,It is obvious that Michelle lifted carefully,-cleft,+gap
27,False,It is these pizzas that Michelle lifted your jacket carefully,+cleft,-gap
27,True,It is obvious that Michelle lifted your jacket carefully,-cleft,-gap
28,True,It is these pizzas that Michelle lifted without falling,+cleft,+gap
28,False,It is obvious that Michelle lifted without falling,-cleft,+gap
28,False,It is these pizzas that Michelle lifted your jacket without falling,+cleft,-gap
28,True,It is obvious that Michelle lifted your jacket without falling,-cleft,-gap
29,True,It is these pizzas that Michelle lifted quickly,+cleft,+gap
29,False,It is obvious that Michelle lifted quickly,-cleft,+gap
29,False,It is these pizzas that Michelle lifted your jacket quickly,+cleft,-gap
29,True,It is obvious that Michelle lifted your jacket quickly,-cleft,-gap
30,True,It is these pizzas that Michelle lifted carefully,+cleft,+gap
30,False,It is obvious that Michelle lifted carefully,-cleft,+gap
30,False,It is these pizzas that Michelle lifted a phone carefully,+cleft,-gap
30,True,It is obvious that Michelle lifted a phone carefully,-cleft,-gap
31,True,It is these pizzas that Michelle lifted without falling,+cleft,+gap
31,False,It is obvious that Michelle lifted without falling,-cleft,+gap
31,False,It is these pizzas that Michelle lifted a phone without falling,+cleft,-gap
31,True,It is obvious that Michelle lifted a phone without falling,-cleft,-gap
32,True,It is these pizzas that Michelle lifted quickly,+cleft,+gap
32,False,It is obvious that Michelle lifted quickly,-cleft,+gap
32,False,It is these pizzas that Michelle lifted a phone quickly,+cleft,-gap
32,True,It is obvious that Michelle lifted a phone quickly,-cleft,-gap
33,True,It is these pizzas that Michelle lifted carefully,+cleft,+gap
33,False,It is obvious that Michelle lifted carefully,-cleft,+gap
33,False,It is these pizzas that Michelle lifted the paperwork carefully,+cleft,-gap
33,True,It is obvious that Michelle lifted the paperwork carefully,-cleft,-gap
34,True,It is these pizzas that Michelle lifted without falling,+cleft,+gap
34,False,It is obvious that Michelle lifted without falling,-cleft,+gap
34,False,It is these pizzas that Michelle lifted the paperwork without falling,+cleft,-gap
34,True,It is obvious that Michelle lifted the paperwork without falling,-cleft,-gap
35,True,It is these pizzas that Michelle lifted quickly,+cleft,+gap
35,False,It is obvious that Michelle lifted quickly,-cleft,+gap
35,False,It is these pizzas that Michelle lifted the paperwork quickly,+cleft,-gap
35,True,It is obvious that Michelle lifted the paperwork quickly,-cleft,-gap
36,True,It is these pizzas that Michelle stole carefully,+cleft,+gap
36,False,It is obvious that Michelle stole carefully,-cleft,+gap
36,False,It is these pizzas that Michelle stole your jacket carefully,+cleft,-gap
36,True,It is obvious that Michelle stole your jacket carefully,-cleft,-gap
37,True,It is these pizzas that Michelle stole without falling,+cleft,+gap
37,False,It is obvious that Michelle stole without falling,-cleft,+gap
37,False,It is these pizzas that Michelle stole your jacket without falling,+cleft,-gap
37,True,It is obvious that Michelle stole your jacket without falling,-cleft,-gap
38,True,It is these pizzas that Michelle stole quickly,+cleft,+gap
38,False,It is obvious that Michelle stole quickly,-cleft,+gap
38,False,It is these pizzas that Michelle stole your jacket quickly,+cleft,-gap
38,True,It is obvious that Michelle stole your jacket quickly,-cleft,-gap
39,True,It is these pizzas that Michelle stole carefully,+cleft,+gap
39,False,It is obvious that Michelle stole carefully,-cleft,+gap
39,False,It is these pizzas that Michelle stole a phone carefully,+cleft,-gap
39,True,It is obvious that Michelle stole a phone carefully,-cleft,-gap
40,True,It is these pizzas that Michelle stole without falling,+cleft,+gap
40,False,It is obvious that Michelle stole without falling,-cleft,+gap
40,False,It is these pizzas that Michelle stole a phone without falling,+cleft,-gap
40,True,It is obvious that Michelle stole a phone without falling,-cleft,-gap
41,True,It is these pizzas that Michelle stole quickly,+cleft,+gap
41,False,It is obvious that Michelle stole quickly,-cleft,+gap
41,False,It is these pizzas that Michelle stole a phone quickly,+cleft,-gap
41,True,It is obvious that Michelle stole a phone quickly,-cleft,-gap
42,True,It is these pizzas that Michelle stole carefully,+cleft,+gap
42,False,It is obvious that Michelle stole carefully,-cleft,+gap
42,False,It is these pizzas that Michelle stole the paperwork carefully,+cleft,-gap
42,True,It is obvious that Michelle stole the paperwork carefully,-cleft,-gap
43,True,It is these pizzas that Michelle stole without falling,+cleft,+gap
43,False,It is obvious that Michelle stole without falling,-cleft,+gap
43,False,It is these pizzas that Michelle stole the paperwork without falling,+cleft,-gap
43,True,It is obvious that Michelle stole the paperwork without falling,-cleft,-gap
44,True,It is these pizzas that Michelle stole quickly,+cleft,+gap
44,False,It is obvious that Michelle stole quickly,-cleft,+gap
44,False,It is these pizzas that Michelle stole the paperwork quickly,+cleft,-gap
44,True,It is obvious that Michelle stole the paperwork quickly,-cleft,-gap
45,True,It is these pizzas that Michelle threw carefully,+cleft,+gap
45,False,It is obvious that Michelle threw carefully,-cleft,+gap
45,False,It is these pizzas that Michelle threw your jacket carefully,+cleft,-gap
45,True,It is obvious that Michelle threw your jacket carefully,-cleft,-gap
46,True,It is these pizzas that Michelle threw without falling,+cleft,+gap
46,False,It is obvious that Michelle threw without falling,-cleft,+gap
46,False,It is these pizzas that Michelle threw your jacket without falling,+cleft,-gap
46,True,It is obvious that Michelle threw your jacket without falling,-cleft,-gap
47,True,It is these pizzas that Michelle threw quickly,+cleft,+gap
47,False,It is obvious that Michelle threw quickly,-cleft,+gap
47,False,It is these pizzas that Michelle threw your jacket quickly,+cleft,-gap
47,True,It is obvious that Michelle threw your jacket quickly,-cleft,-gap
48,True,It is these pizzas that Michelle threw carefully,+cleft,+gap
48,False,It is obvious that Michelle threw carefully,-cleft,+gap
48,False,It is these pizzas that Michelle threw a phone carefully,+cleft,-gap
48,True,It is obvious that Michelle threw a phone carefully,-cleft,-gap
49,True,It is these pizzas that Michelle threw without falling,+cleft,+gap
49,False,It is obvious that Michelle threw without falling,-cleft,+gap
49,False,It is these pizzas that Michelle threw a phone without falling,+cleft,-gap
49,True,It is obvious that Michelle threw a phone without falling,-cleft,-gap
50,True,It is these pizzas that Michelle threw quickly,+cleft,+gap
50,False,It is obvious that Michelle threw quickly,-cleft,+gap
50,False,It is these pizzas that Michelle threw a phone quickly,+cleft,-gap
50,True,It is obvious that Michelle threw a phone quickly,-cleft,-gap
51,True,It is these pizzas that Michelle threw carefully,+cleft,+gap
51,False,It is obvious that Michelle threw carefully,-cleft,+gap
51,False,It is these pizzas that Michelle threw the paperwork carefully,+cleft,-gap
51,True,It is obvious that Michelle threw the paperwork carefully,-cleft,-gap
52,True,It is these pizzas that Michelle threw without falling,+cleft,+gap
52,False,It is obvious that Michelle threw without falling,-cleft,+gap
52,False,It is these pizzas that Michelle threw the paperwork without falling,+cleft,-gap
52,True,It is obvious that Michelle threw the paperwork without falling,-cleft,-gap
53,True,It is these pizzas that Michelle threw quickly,+cleft,+gap
53,False,It is obvious that Michelle threw quickly,-cleft,+gap
53,False,It is these pizzas that Michelle threw the paperwork quickly,+cleft,-gap
53,True,It is obvious that Michelle threw the paperwork quickly,-cleft,-gap
54,True,It is these pizzas that Susan lifted carefully,+cleft,+gap
54,False,It is surprising that Susan lifted carefully,-cleft,+gap
54,False,It is these pizzas that Susan lifted your jacket carefully,+cleft,-gap
54,True,It is surprising that Susan lifted your jacket carefully,-cleft,-gap
55,True,It is these pizzas that Susan lifted without falling,+cleft,+gap
55,False,It is surprising that Susan lifted without falling,-cleft,+gap
55,False,It is these pizzas that Susan lifted your jacket without falling,+cleft,-gap
55,True,It is surprising that Susan lifted your jacket without falling,-cleft,-gap
56,True,It is these pizzas that Susan lifted quickly,+cleft,+gap
56,False,It is surprising that Susan lifted quickly,-cleft,+gap
56,False,It is these pizzas that Susan lifted your jacket quickly,+cleft,-gap
56,True,It is surprising that Susan lifted your jacket quickly,-cleft,-gap
57,True,It is these pizzas that Susan lifted carefully,+cleft,+gap
57,False,It is surprising that Susan lifted carefully,-cleft,+gap
57,False,It is these pizzas that Susan lifted a phone carefully,+cleft,-gap
57,True,It is surprising that Susan lifted a phone carefully,-cleft,-gap
58,True,It is these pizzas that Susan lifted without falling,+cleft,+gap
58,False,It is surprising that Susan lifted without falling,-cleft,+gap
58,False,It is these pizzas that Susan lifted a phone without falling,+cleft,-gap
58,True,It is surprising that Susan lifted a phone without falling,-cleft,-gap
59,True,It is these pizzas that Susan lifted quickly,+cleft,+gap
59,False,It is surprising that Susan lifted quickly,-cleft,+gap
59,False,It is these pizzas that Susan lifted a phone quickly,+cleft,-gap
59,True,It is surprising that Susan lifted a phone quickly,-cleft,-gap
60,True,It is these pizzas that Susan lifted carefully,+cleft,+gap
60,False,It is surprising that Susan lifted carefully,-cleft,+gap
60,False,It is these pizzas that Susan lifted the paperwork carefully,+cleft,-gap
60,True,It is surprising that Susan lifted the paperwork carefully,-cleft,-gap
61,True,It is these pizzas that Susan lifted without falling,+cleft,+gap
61,False,It is surprising that Susan lifted without falling,-cleft,+gap
61,False,It is these pizzas that Susan lifted the paperwork without falling,+cleft,-gap
61,True,It is surprising that Susan lifted the paperwork without falling,-cleft,-gap
62,True,It is these pizzas that Susan lifted quickly,+cleft,+gap
62,False,It is surprising that Susan lifted quickly,-cleft,+gap
62,False,It is these pizzas that Susan lifted the paperwork quickly,+cleft,-gap
62,True,It is surprising that Susan lifted the paperwork quickly,-cleft,-gap
63,True,It is these pizzas that Susan stole carefully,+cleft,+gap
63,False,It is surprising that Susan stole carefully,-cleft,+gap
63,False,It is these pizzas that Susan stole your jacket carefully,+cleft,-gap
63,True,It is surprising that Susan stole your jacket carefully,-cleft,-gap
64,True,It is these pizzas that Susan stole without falling,+cleft,+gap
64,False,It is surprising that Susan stole without falling,-cleft,+gap
64,False,It is these pizzas that Susan stole your jacket without falling,+cleft,-gap
64,True,It is surprising that Susan stole your jacket without falling,-cleft,-gap
65,True,It is these pizzas that Susan stole quickly,+cleft,+gap
65,False,It is surprising that Susan stole quickly,-cleft,+gap
65,False,It is these pizzas that Susan stole your jacket quickly,+cleft,-gap
65,True,It is surprising that Susan stole your jacket quickly,-cleft,-gap
66,True,It is these pizzas that Susan stole carefully,+cleft,+gap
66,False,It is surprising that Susan stole carefully,-cleft,+gap
66,False,It is these pizzas that Susan stole a phone carefully,+cleft,-gap
66,True,It is surprising that Susan stole a phone carefully,-cleft,-gap
67,True,It is these pizzas that Susan stole without falling,+cleft,+gap
67,False,It is surprising that Susan stole without falling,-cleft,+gap
67,False,It is these pizzas that Susan stole a phone without falling,+cleft,-gap
67,True,It is surprising that Susan stole a phone without falling,-cleft,-gap
68,True,It is these pizzas that Susan stole quickly,+cleft,+gap
68,False,It is surprising that Susan stole quickly,-cleft,+gap
68,False,It is these pizzas that Susan stole a phone quickly,+cleft,-gap
68,True,It is surprising that Susan stole a phone quickly,-cleft,-gap
69,True,It is these pizzas that Susan stole carefully,+cleft,+gap
69,False,It is surprising that Susan stole carefully,-cleft,+gap
69,False,It is these pizzas that Susan stole the paperwork carefully,+cleft,-gap
69,True,It is surprising that Susan stole the paperwork carefully,-cleft,-gap
70,True,It is these pizzas that Susan stole without falling,+cleft,+gap
70,False,It is surprising that Susan stole without falling,-cleft,+gap
70,False,It is these pizzas that Susan stole the paperwork without falling,+cleft,-gap
70,True,It is surprising that Susan stole the paperwork without falling,-cleft,-gap
71,True,It is these pizzas that Susan stole quickly,+cleft,+gap
71,False,It is surprising that Susan stole quickly,-cleft,+gap
71,False,It is these pizzas that Susan stole the paperwork quickly,+cleft,-gap
71,True,It is surprising that Susan stole the paperwork quickly,-cleft,-gap
72,True,It is these pizzas that Susan threw carefully,+cleft,+gap
72,False,It is surprising that Susan threw carefully,-cleft,+gap
72,False,It is these pizzas that Susan threw your jacket carefully,+cleft,-gap
72,True,It is surprising that Susan threw your jacket carefully,-cleft,-gap
73,True,It is these pizzas that Susan threw without falling,+cleft,+gap
73,False,It is surprising that Susan threw without falling,-cleft,+gap
73,False,It is these pizzas that Susan threw your jacket without falling,+cleft,-gap
73,True,It is surprising that Susan threw your jacket without falling,-cleft,-gap
74,True,It is these pizzas that Susan threw quickly,+cleft,+gap
74,False,It is surprising that Susan threw quickly,-cleft,+gap
74,False,It is these pizzas that Susan threw your jacket quickly,+cleft,-gap
74,True,It is surprising that Susan threw your jacket quickly,-cleft,-gap
75,True,It is these pizzas that Susan threw carefully,+cleft,+gap
75,False,It is surprising that Susan threw carefully,-cleft,+gap
75,False,It is these pizzas that Susan threw a phone carefully,+cleft,-gap
75,True,It is surprising that Susan threw a phone carefully,-cleft,-gap
76,True,It is these pizzas that Susan threw without falling,+cleft,+gap
76,False,It is surprising that Susan threw without falling,-cleft,+gap
76,False,It is these pizzas that Susan threw a phone without falling,+cleft,-gap
76,True,It is surprising that Susan threw a phone without falling,-cleft,-gap
77,True,It is these pizzas that Susan threw quickly,+cleft,+gap
77,False,It is surprising that Susan threw quickly,-cleft,+gap
77,False,It is these pizzas that Susan threw a phone quickly,+cleft,-gap
77,True,It is surprising that Susan threw a phone quickly,-cleft,-gap
78,True,It is these pizzas that Susan threw carefully,+cleft,+gap
78,False,It is surprising that Susan threw carefully,-cleft,+gap
78,False,It is these pizzas that Susan threw the paperwork carefully,+cleft,-gap
78,True,It is surprising that Susan threw the paperwork carefully,-cleft,-gap
79,True,It is these pizzas that Susan threw without falling,+cleft,+gap
79,False,It is surprising that Susan threw without falling,-cleft,+gap
79,False,It is these pizzas that Susan threw the paperwork without falling,+cleft,-gap
79,True,It is surprising that Susan threw the paperwork without falling,-cleft,-gap
80,True,It is these pizzas that Susan threw quickly,+cleft,+gap
80,False,It is surprising that Susan threw quickly,-cleft,+gap
80,False,It is these pizzas that Susan threw the paperwork quickly,+cleft,-gap
80,True,It is surprising that Susan threw the paperwork quickly,-cleft,-gap
81,True,It is these pizzas that Michelle lifted carefully,+cleft,+gap
81,False,It is surprising that Michelle lifted carefully,-cleft,+gap
81,False,It is these pizzas that Michelle lifted your jacket carefully,+cleft,-gap
81,True,It is surprising that Michelle lifted your jacket carefully,-cleft,-gap
82,True,It is these pizzas that Michelle lifted without falling,+cleft,+gap
82,False,It is surprising that Michelle lifted without falling,-cleft,+gap
82,False,It is these pizzas that Michelle lifted your jacket without falling,+cleft,-gap
82,True,It is surprising that Michelle lifted your jacket without falling,-cleft,-gap
83,True,It is these pizzas that Michelle lifted quickly,+cleft,+gap
83,False,It is surprising that Michelle lifted quickly,-cleft,+gap
83,False,It is these pizzas that Michelle lifted your jacket quickly,+cleft,-gap
83,True,It is surprising that Michelle lifted your jacket quickly,-cleft,-gap
84,True,It is these pizzas that Michelle lifted carefully,+cleft,+gap
84,False,It is surprising that Michelle lifted carefully,-cleft,+gap
84,False,It is these pizzas that Michelle lifted a phone carefully,+cleft,-gap
84,True,It is surprising that Michelle lifted a phone carefully,-cleft,-gap
85,True,It is these pizzas that Michelle lifted without falling,+cleft,+gap
85,False,It is surprising that Michelle lifted without falling,-cleft,+gap
85,False,It is these pizzas that Michelle lifted a phone without falling,+cleft,-gap
85,True,It is surprising that Michelle lifted a phone without falling,-cleft,-gap
86,True,It is these pizzas that Michelle lifted quickly,+cleft,+gap
86,False,It is surprising that Michelle lifted quickly,-cleft,+gap
86,False,It is these pizzas that Michelle lifted a phone quickly,+cleft,-gap
86,True,It is surprising that Michelle lifted a phone quickly,-cleft,-gap
87,True,It is these pizzas that Michelle lifted carefully,+cleft,+gap
87,False,It is surprising that Michelle lifted carefully,-cleft,+gap
87,False,It is these pizzas that Michelle lifted the paperwork carefully,+cleft,-gap
87,True,It is surprising that Michelle lifted the paperwork carefully,-cleft,-gap
88,True,It is these pizzas that Michelle lifted without falling,+cleft,+gap
88,False,It is surprising that Michelle lifted without falling,-cleft,+gap
88,False,It is these pizzas that Michelle lifted the paperwork without falling,+cleft,-gap
88,True,It is surprising that Michelle lifted the paperwork without falling,-cleft,-gap
89,True,It is these pizzas that Michelle lifted quickly,+cleft,+gap
89,False,It is surprising that Michelle lifted quickly,-cleft,+gap
89,False,It is these pizzas that Michelle lifted the paperwork quickly,+cleft,-gap
89,True,It is surprising that Michelle lifted the paperwork quickly,-cleft,-gap
90,True,It is these pizzas that Michelle stole carefully,+cleft,+gap
90,False,It is surprising that Michelle stole carefully,-cleft,+gap
90,False,It is these pizzas that Michelle stole your jacket carefully,+cleft,-gap
90,True,It is surprising that Michelle stole your jacket carefully,-cleft,-gap
91,True,It is these pizzas that Michelle stole without falling,+cleft,+gap
91,False,It is surprising that Michelle stole without falling,-cleft,+gap
91,False,It is these pizzas that Michelle stole your jacket without falling,+cleft,-gap
91,True,It is surprising that Michelle stole your jacket without falling,-cleft,-gap
92,True,It is these pizzas that Michelle stole quickly,+cleft,+gap
92,False,It is surprising that Michelle stole quickly,-cleft,+gap
92,False,It is these pizzas that Michelle stole your jacket quickly,+cleft,-gap
92,True,It is surprising that Michelle stole your jacket quickly,-cleft,-gap
93,True,It is these pizzas that Michelle stole carefully,+cleft,+gap
93,False,It is surprising that Michelle stole carefully,-cleft,+gap
93,False,It is these pizzas that Michelle stole a phone carefully,+cleft,-gap
93,True,It is surprising that Michelle stole a phone carefully,-cleft,-gap
94,True,It is these pizzas that Michelle stole without falling,+cleft,+gap
94,False,It is surprising that Michelle stole without falling,-cleft,+gap
94,False,It is these pizzas that Michelle stole a phone without falling,+cleft,-gap
94,True,It is surprising that Michelle stole a phone without falling,-cleft,-gap
95,True,It is these pizzas that Michelle stole quickly,+cleft,+gap
95,False,It is surprising that Michelle stole quickly,-cleft,+gap
95,False,It is these pizzas that Michelle stole a phone quickly,+cleft,-gap
95,True,It is surprising that Michelle stole a phone quickly,-cleft,-gap
96,True,It is these pizzas that Michelle stole carefully,+cleft,+gap
96,False,It is surprising that Michelle stole carefully,-cleft,+gap
96,False,It is these pizzas that Michelle stole the paperwork carefully,+cleft,-gap
96,True,It is surprising that Michelle stole the paperwork carefully,-cleft,-gap
97,True,It is these pizzas that Michelle stole without falling,+cleft,+gap
97,False,It is surprising that Michelle stole without falling,-cleft,+gap
97,False,It is these pizzas that Michelle stole the paperwork without falling,+cleft,-gap
97,True,It is surprising that Michelle stole the paperwork without falling,-cleft,-gap
98,True,It is these pizzas that Michelle stole quickly,+cleft,+gap
98,False,It is surprising that Michelle stole quickly,-cleft,+gap
98,False,It is these pizzas that Michelle stole the paperwork quickly,+cleft,-gap
98,True,It is surprising that Michelle stole the paperwork quickly,-cleft,-gap
99,True,It is these pizzas that Michelle threw carefully,+cleft,+gap
99,False,It is surprising that Michelle threw carefully,-cleft,+gap
99,False,It is these pizzas that Michelle threw your jacket carefully,+cleft,-gap
99,True,It is surprising that Michelle threw your jacket carefully,-cleft,-gap
100,True,It is these pizzas that Michelle threw without falling,+cleft,+gap
100,False,It is surprising that Michelle threw without falling,-cleft,+gap
100,False,It is these pizzas that Michelle threw your jacket without falling,+cleft,-gap
100,True,It is surprising that Michelle threw your jacket without falling,-cleft,-gap
101,True,It is these pizzas that Michelle threw quickly,+cleft,+gap
101,False,It is surprising that Michelle threw quickly,-cleft,+gap
101,False,It is these pizzas that Michelle threw your jacket quickly,+cleft,-gap
101,True,It is surprising that Michelle threw your jacket quickly,-cleft,-gap
102,True,It is these pizzas that Michelle threw carefully,+cleft,+gap
102,False,It is surprising that Michelle threw carefully,-cleft,+gap
102,False,It is these pizzas that Michelle threw a phone carefully,+cleft,-gap
102,True,It is surprising that Michelle threw a phone carefully,-cleft,-gap
103,True,It is these pizzas that Michelle threw without falling,+cleft,+gap
103,False,It is surprising that Michelle threw without falling,-cleft,+gap
103,False,It is these pizzas that Michelle threw a phone without falling,+cleft,-gap
103,True,It is surprising that Michelle threw a phone without falling,-cleft,-gap
104,True,It is these pizzas that Michelle threw quickly,+cleft,+gap
104,False,It is surprising that Michelle threw quickly,-cleft,+gap
104,False,It is these pizzas that Michelle threw a phone quickly,+cleft,-gap
104,True,It is surprising that Michelle threw a phone quickly,-cleft,-gap
105,True,It is these pizzas that Michelle threw carefully,+cleft,+gap
105,False,It is surprising that Michelle threw carefully,-cleft,+gap
105,False,It is these pizzas that Michelle threw the paperwork carefully,+cleft,-gap
105,True,It is surprising that Michelle threw the paperwork carefully,-cleft,-gap
106,True,It is these pizzas that Michelle threw without falling,+cleft,+gap
106,False,It is surprising that Michelle threw without falling,-cleft,+gap
106,False,It is these pizzas that Michelle threw the paperwork without falling,+cleft,-gap
106,True,It is surprising that Michelle threw the paperwork without falling,-cleft,-gap
107,True,It is these pizzas that Michelle threw quickly,+cleft,+gap
107,False,It is surprising that Michelle threw quickly,-cleft,+gap
107,False,It is these pizzas that Michelle threw the paperwork quickly,+cleft,-gap
107,True,It is surprising that Michelle threw the paperwork quickly,-cleft,-gap
108,True,It is these pizzas that Susan lifted carefully,+cleft,+gap
108,False,It is annoying that Susan lifted carefully,-cleft,+gap
108,False,It is these pizzas that Susan lifted your jacket carefully,+cleft,-gap
108,True,It is annoying that Susan lifted your jacket carefully,-cleft,-gap
109,True,It is these pizzas that Susan lifted without falling,+cleft,+gap
109,False,It is annoying that Susan lifted without falling,-cleft,+gap
